Annot	Term	Annotated	Significant	Pvalue	Padj	GeneID
GO:0044710	GO:0044710	single-organism metabolic process	3622	78	8.33436126565822e-14	3.23456560720196e-10	Prdx6,Oxtr,Fam213b,Plod3,Ttc7b,Sod3,Acsm3,Gmpr,Hadhb,Fads3,Adora1,Marc1,Gpd1,Angptl4,Insig1,Creb1,Pon1,Idh2,Lep,Fam20c,Rarres2,Nln,Smpd1,Mgll,Mpc2,Hsd17b4,Gmpr2,Zmynd11,Degs1,Pla2g12a,Dgat2,Cyb5b,Ctsb,Pcyox1,Prkcdbp,Tpi1,Chp1,Tph2,Pi4k2a,Ndufa4,Adam8,Lpgat1,Serpinh1,Tfrc,Fgf13,Pfkl,Hprt,Fgf12,Itgb2,Auh,Bcap31,Impdh1,Psap,Prkar2b,Comt,Mboat2,Hephl1,Slc5a7,Bdh1,Lipf,Npc2,Fam213a,Pgd,Atp6v1b2,Npr3,Gm2a,Dhrs4,Ret,Hsd17b12,Prdx5,Lipa,Fmr1,Fitm1,G6pdx,Pltp,Slc5a3,Bdnf,Atp5d
GO:0006629	GO:0006629	lipid metabolic process	1160	36	1.63332424212548e-10	3.16946569184449e-07	Prdx6,Fam213b,Ttc7b,Acsm3,Fads3,Adora1,Gpd1,Angptl4,Insig1,Creb1,Hadhb,Pon1,Lep,Rarres2,Smpd1,Mgll,Hsd17b4,Degs1,Pla2g12a,Dgat2,Pi4k2a,Lpgat1,Auh,Psap,Prkar2b,Comt,Mboat2,Lipf,Npc2,Gm2a,Dhrs4,Hsd17b12,Lipa,Fitm1,G6pdx,Pltp
GO:0055114	GO:0055114	oxidation-reduction process	905	31	3.35951222583562e-10	4.34608898282268e-07	Prdx6,Fam213b,Plod3,Sod3,Gmpr,Marc1,Gpd1,Fads3,Hadhb,Idh2,Lep,Hsd17b4,Gmpr2,Degs1,Dgat2,Cyb5b,Pcyox1,Prkcdbp,Tph2,Ndufa4,Auh,Impdh1,Hephl1,Bdh1,Fam213a,Pgd,Dhrs4,Prdx5,Hsd17b12,G6pdx,Bdnf
GO:0044699	GO:0044699	single-organism process	13406	167	7.03831073742232e-10	5.74738383275592e-07	Tspyl2,Plin2,Prdx6,Cdsn,Oxtr,Fam213b,Anxa2,Plod3,Sorbs2,Sox6,Ttc7b,Sod3,Acsm3,Htra1,Murc,Gmpr,Hadhb,Fads3,Slc48a1,Marc1,Adora1,Unc119,Gpd1,Angptl4,Insig1,Rspo3,Sncg,Creb1,Brinp1,Pon1,Idh2,Lep,Fam20c,Stmn4,Ppp2r2c,Rarres2,Nln,Smpd1,B2m,Col4a2,Mgll,Dscc1,Mpc2,Mir7-1,Hsd17b4,Birc2,Crtac1,Il13ra2,F7,Iscu,Adap2,Gmpr2,Zmynd11,C6,Degs1,Pla2g12a,Dgat2,Cyb5b,Phlda3,Ctsb,Pcyox1,Sfpq,Cstb,Mpp7,Prkcdbp,Pex16,Tpi1,Chp1,Serpine1,Kcnj14,Pi4k2a,Tph2,Pde7a,Appl1,Ndufa4,Adam8,Slc38a10,Lpgat1,Serpinh1,Rtn2,Tfrc,Itgad,Fgf13,Pfkl,Mycbp2,Mmp12,Otoa,Anxa6,Glrx5,Prelp,Sez6l,Hprt,Fgf12,Itgb2,Auh,S100a11,Bcap31,Impdh1,Hfe,Psap,Olfm1,Itgax,Ctsz,Trp53inp2,Cela1,Prkar2b,Comt,Pdia6,Mboat2,Hephl1,Gpihbp1,Bcar3,Dnmt3l,Slc5a7,Tekt5,Bdh1,Lipf,Gpr50,Npc2,Fam213a,Pgd,Irak2,Pkp2,Cdkn2d,Atp6v1b2,Dock8,Npr3,Dbp,Gm2a,Ctsl,Lrch1,Ccr2,Atp9a,Hnrnpm,Lgals3,Cib2,Dhrs4,Azi2,Ret,Pappa2,Lgals1,Hsd17b12,Prdx5,Lipa,Fmr1,Vwc2,Col4a1,Slc25a19,Srpx2,Dok3,S100a8,Fitm1,Sema5a,Col19a1,Dap,G0s2,Chek2,G6pdx,Pltp,Slc5a3,Ltbp3,Slc25a10,Tmem135,Mmd,Bdnf,Atp5d,Sytl2
GO:0044763	GO:0044763	single-organism cellular process	9986	137	7.40451408497284e-10	5.74738383275592e-07	Tspyl2,Prdx6,Oxtr,Fam213b,Anxa2,Plod3,Sorbs2,Sox6,Ttc7b,Acsm3,Htra1,Murc,Gmpr,Hadhb,Fads3,Marc1,Adora1,Unc119,Gpd1,Angptl4,Insig1,Rspo3,Sncg,Creb1,Brinp1,Pon1,Idh2,Lep,Fam20c,Stmn4,Ppp2r2c,Rarres2,Nln,Smpd1,B2m,Mgll,Dscc1,Mpc2,Mir7-1,Hsd17b4,Birc2,Crtac1,Il13ra2,F7,Iscu,Gmpr2,Zmynd11,C6,Degs1,Pla2g12a,Dgat2,Phlda3,Ctsb,Pcyox1,Sfpq,Mpp7,Prkcdbp,Pex16,Tpi1,Chp1,Serpine1,Kcnj14,Pi4k2a,Tph2,Appl1,Adam8,Lpgat1,Serpinh1,Tfrc,Itgad,Fgf13,Pfkl,Mycbp2,Mmp12,Anxa6,Glrx5,Prelp,Sez6l,Hprt,Fgf12,Itgb2,Auh,Bcap31,Impdh1,Hfe,Psap,Olfm1,Ctsz,Trp53inp2,Cela1,Prkar2b,Comt,Pdia6,Mboat2,Gpihbp1,Dnmt3l,Slc5a7,Tekt5,Fam213a,Pgd,Irak2,Pkp2,Cdkn2d,Atp6v1b2,Dock8,Npr3,Gm2a,Ctsl,Ccr2,Lgals3,Cib2,Dhrs4,Azi2,Ret,Lgals1,Hsd17b12,Prdx5,Lipa,Fmr1,Vwc2,Col4a1,Srpx2,S100a8,Fitm1,Sema5a,Col19a1,Dap,G0s2,Chek2,G6pdx,Pltp,Slc5a3,Ltbp3,Mmd,Bdnf,Atp5d,Sytl2
GO:0008152	GO:0008152	metabolic process	10301	139	1.61762608531734e-09	1.04633447285276e-06	Ctsd,Tspyl2,Prdx6,Oxtr,Fam213b,Mettl25,Anxa2,Plod3,Sox6,Ttc7b,Sod3,Acsm3,Htra1,Murc,Gmpr,Hadhb,Fads3,Marc1,Adora1,Unc119,Gpd1,Cdkl4,Angptl4,Insig1,Itih5,Creb1,Asf1b,Pon1,Idh2,Lep,Fam20c,Ppp2r2c,Rarres2,Nln,Smpd1,Col4a2,Mgll,Dscc1,Mpc2,Mir7-1,Hsd17b4,Birc2,F7,Iscu,Gmpr2,Zmynd11,C6,Degs1,Pla2g12a,Dgat2,Cyb5b,Adamts4,Ctsb,Pcyox1,Sfpq,Cstb,Prkcdbp,Tpi1,Chp1,Serpine1,Pi4k2a,Tph2,Wdr55,Pon2,Rbm28,Ndufa4,Adam8,Lpgat1,Serpinh1,Gusb,Tfrc,Fgf13,Pfkl,Mycbp2,Mmp12,Glrx5,Hprt,Fgf12,Itgb2,Auh,2010111I01Rik,Bcap31,Impdh1,Hfe,Psap,Olfm1,Ctsz,Trp53inp2,Cela1,Prkar2b,Serpina3n,Comt,Mboat2,Hephl1,Dhx32,Bcar3,Dnmt3l,Slc5a7,Bdh1,Lipf,Npc2,Fam213a,Gar1,Pgd,Irak2,Cdkn2d,Atp6v1b2,Ppic,Npr3,Dbp,Gm2a,Ctsl,Ccr2,Pcf11,Eif1a,Hnrnpm,Lgals3,Dhrs4,Ret,Pappa2,Hsd17b12,Prdx5,Lipa,Fmr1,Vwc2,Srpx2,S100a8,Fitm1,Dap,Chek2,G6pdx,Pltp,Slc5a3,Tmem135,Mmd,Bdnf,Stambpl1,Atp5d,Sytl2
GO:0006793	GO:0006793	phosphorus metabolic process	2881	58	5.56347370638645e-09	3.08454877921226e-06	Sytl2,Prdx6,Oxtr,Tspyl2,Anxa2,Ttc7b,Acsm3,Gmpr,Adora1,Unc119,Gpd1,Cdkl4,Creb1,Pon1,Idh2,Fam20c,Lep,Ppp2r2c,Rarres2,Smpd1,Mpc2,Hsd17b4,Gmpr2,Zmynd11,Pla2g12a,Dgat2,Prkcdbp,Tpi1,Chp1,Pi4k2a,Adam8,Lpgat1,Fgf13,Pfkl,Hprt,Fgf12,Itgb2,Impdh1,Hfe,Psap,Prkar2b,Mboat2,Bcar3,Pgd,Irak2,Cdkn2d,Atp6v1b2,Npr3,Ret,Prdx5,Fmr1,Srpx2,Fitm1,Chek2,G6pdx,Mmd,Bdnf,Atp5d
GO:0051179	GO:0051179	localization	5612	90	7.50252408062821e-09	3.63966199461476e-06	Plin2,Oxtr,Anxa2,Plod3,Sorbs2,Ttc7b,Slc48a1,Fads3,Adora1,Unc119,Insig1,Sncg,Creb1,Pon1,Idh2,Lep,Rarres2,B2m,Mpc2,Cacng1,Il13ra2,F7,Pla2g12a,Dgat2,Cyb5b,Pcyox1,Mpp7,Pex16,Tmed5,Chp1,Serpine1,Ano10,Kcnj14,Pi4k2a,Appl1,Ndufa4,Adam8,Slc38a10,Rtn2,Tfrc,Fgf13,Pfkl,Mycbp2,Mmp12,Anxa6,Fgf12,Itgb2,Bcap31,Hfe,Psap,Olfm1,Itgax,Trp53inp2,Comt,Pdia6,Hephl1,Gpihbp1,Slc5a7,Tekt5,Mest,Npc2,Pkp2,Cldn15,Atp6v1b2,Npr3,Dock8,Gm2a,Ccr2,Nup210,Atp9a,Hnrnpm,Lgals3,Ret,Cnnm2,Fmr1,Slc25a19,Srpx2,S100a8,Synpr,Fitm1,Sema5a,G6pdx,Pltp,Slc5a3,Slc25a10,Mmd,Bdnf,Tmem135,Atp5d,Sytl2
GO:0044281	GO:0044281	small molecule metabolic process	1735	41	2.31653859319875e-08	9.98942920022707e-06	Fam213b,Plod3,Acsm3,Gmpr,Fads3,Marc1,Gpd1,Hadhb,Insig1,Pon1,Idh2,Fam20c,Lep,Nln,Mgll,Mpc2,Hsd17b4,Gmpr2,Degs1,Dgat2,Pcyox1,Tpi1,Tph2,Pfkl,Hprt,Auh,Impdh1,Prkar2b,Comt,Npc2,Pgd,Atp6v1b2,Npr3,Dhrs4,Prdx5,Lipa,G6pdx,Pltp,Slc5a3,Bdnf,Atp5d
GO:0044238	GO:0044238	primary metabolic process	9301	126	2.91007279509889e-08	1.12939925177788e-05	Ctsd,Tspyl2,Prdx6,Oxtr,Fam213b,Anxa2,Plod3,Sox6,Ttc7b,Acsm3,Htra1,Murc,Gmpr,Hadhb,Fads3,Adora1,Unc119,Gpd1,Cdkl4,Angptl4,Insig1,Itih5,Creb1,Pon1,Idh2,Asf1b,Lep,Fam20c,Ppp2r2c,Rarres2,Nln,Smpd1,Mgll,Col4a2,Dscc1,Mpc2,Mir7-1,Hsd17b4,Birc2,F7,Iscu,Gmpr2,Zmynd11,C6,Degs1,Pla2g12a,Dgat2,Adamts4,Ctsb,Pcyox1,Sfpq,Cstb,Prkcdbp,Tpi1,Chp1,Serpine1,Tph2,Pi4k2a,Wdr55,Rbm28,Adam8,Lpgat1,Serpinh1,Tfrc,Gusb,Fgf13,Pfkl,Mycbp2,Mmp12,Glrx5,Hprt,Fgf12,Itgb2,Auh,2010111I01Rik,Impdh1,Bcap31,Hfe,Psap,Olfm1,Ctsz,Trp53inp2,Cela1,Prkar2b,Serpina3n,Comt,Mboat2,Dhx32,Bcar3,Dnmt3l,Lipf,Npc2,Gar1,Pgd,Irak2,Cdkn2d,Atp6v1b2,Ppic,Npr3,Dbp,Gm2a,Ctsl,Ccr2,Pcf11,Eif1a,Hnrnpm,Lgals3,Dhrs4,Ret,Pappa2,Hsd17b12,Prdx5,Lipa,Vwc2,Fmr1,S100a8,Fitm1,Dap,Chek2,G6pdx,Pltp,Slc5a3,Mmd,Bdnf,Stambpl1,Atp5d
