Annot	Term	Annotated	Significant	Pvalue	Padj	GeneID
00061	00061	Fatty acid biosynthesis	6	2	7.14267014960256e-05	0.00178566753740064	Acaca,Fasn
03320	03320	PPAR signaling pathway	80	3	0.000695219468640909	0.00869024335801136	Angptl4,Hmgcs2,Cpt1a
00640	00640	Propanoate metabolism	33	2	0.0024269461364546	0.0202245511371216	Acaca,Acss2
00620	00620	Pyruvate metabolism	43	2	0.00409672608011802	0.0256045380007376	Acaca,Acss2
01100	01100	Metabolic pathways	1175	7	0.00929479082656939	0.046473954132847	Acly,Acaca,Fasn,Tst,Hmgcs2,Lipf,Acss2
00072	00072	Synthesis and degradation of ketone bodies	10	1	0.0224306461594582	0.0801094505694937	Hmgcs2
04122	04122	Sulfur relay system	10	1	0.0224306461594582	0.0801094505694937	Tst
00900	00900	Terpenoid backbone biosynthesis	14	1	0.0312707044084316	0.0977209512763488	Hmgcs2
04910	04910	Insulin signaling pathway	137	2	0.0373917183735084	0.103865884370857	Acaca,Fasn
00670	00670	One carbon pool by folate	19	1	0.0422158617273459	0.105539654318365	Aldh1l1
04710	04710	Circadian rhythm	22	1	0.0487274403361196	0.11074418258209	Arntl
