Annot	Term	Annotated	Significant	Pvalue	Padj	GeneID
00900	00900	Terpenoid backbone biosynthesis	14	9	1.61562828583939e-06	0.000271551582471456	Fdps,Mvd,Idi1,Pmvk,Hmgcr,Mvk,Hmgcs1,Acat2,Acat1
00100	00100	Steroid biosynthesis	18	10	2.68862952942036e-06	0.000271551582471456	Dhcr24,Tm7sf2,Cyp51,Sc5d,Lss,Fdft1,Hsd17b7,Nsdhl,Sqle,Msmo1
04142	04142	Lysosome	122	29	1.26696227374196e-05	0.000622226366172297	Ctsd,Ap3s1,Cd164,Igf2r,Atp6v0d2,Ctsc,Hexa,Ctsb,Slc11a1,Gusb,Lamp2,Fuca1,Psap,Cd68,Hexb,Ctsz,Gnptab,Npc2,Cd63,Sort1,Ctsl,Abca2,Ctss,Gaa,Laptm5,Lgmn,Ctsh,Ctns,Man2b1
01100	01100	Metabolic pathways	1175	163	1.50686481427021e-05	0.000622226366172297	Prdx6,Uqcrq,Odc1,Cmpk1,Hmbs,Acadvl,Agps,Dhcr24,Acsl1,Cox5a,Uck1,Rpn1,Cyp2j13,Nme2,Hadhb,Aldh1a7,Ephx2,Extl3,Me1,Tm7sf2,Idh3a,Ndufs2,Pcyt2,Sucla2,Sephs2,P4ha2,Aldh1a2,Hk2,Ltc4s,Atp5g3,Atp6v0d2,Rpn2,Mgll,Suclg2,Hexa,Nme1,Hsd17b4,Agpat2,Fut8,Pnpla3,Cyp51,Ext1,Pla2g12a,Sc5d,Idh1,Dgat2,Plcb1,Stt3b,Nme3,Ndufb9,Cox8a,Tpi1,Tph2,Gstz1,Bcat1,Pfkp,Glyctk,Acadm,Nos2,Ggt5,Pigq,Ndufa4,Pigyl,Gusb,Acss1,Mdh2,Pfkl,Ogdhl,Prps1,Pank1,Tbxas1,Ndst1,Sptlc2,B4galt7,Fdps,Pcx,Cox6b1,Mvd,Pgam1,Gpt,Dhrs3,Hprt,Lss,Nsdhl,Gpi1,Fdft1,Pip5k1c,Impdh1,Inpp5k,Hsd17b7,Acsl3,Atp5b,Mboat1,Inpp4a,Comt,Acadl,Rdh11,Hexb,Atp5a1,Mboat2,Ptdss1,Ldha,Chpf,Anpep,Cds2,St6gal1,Cox4i1,Uqcrc1,Bdh1,Extl1,Sgms1,Cds1,Idi1,Acads,Pgd,Plcb4,Ampd3,Pmvk,Nt5e,Mgat3,Pafah1b3,Ddost,Atp6v1b2,Galnt16,Hmgcr,Man1b1,Acox1,Coq2,St3gal3,Dhrs4,Dgat1,Mvk,Itpkb,Sdhb,Atp5l,Cs,Dlat,Uqcr11,Hmgcs1,Hadha,Alg2,Aldoc,Dld,Hpgds,Sqle,Gaa,Isyna1,Ugt8a,Ndufb5,Gale,Acat2,Agpat3,Gal3st1,G6pdx,Cbr2,Chpt1,Scp2,Nmnat2,Eprs,Hk3,St8sia5,Msmo1,Acat1
04141	04141	Protein processing in endoplasmic reticulum	169	36	1.67201352365289e-05	0.000622226366172297	Dnajb11,Lman2,Park2,Hspa5,Rpn1,Rpn2,Ssr1,Hsp90ab1,Stt3b,Calr,Wfs1,Hsp90b1,Pdia3,March6,P4hb,Map3k5,Uggt1,Capn2,Vcp,Hspa1b,Xbp1,Bcap31,Pdia6,Rrbp1,Edem1,Mbtps1,Hsp90aa1,Amfr,Hsph1,Ddost,Eif2s1,Man1b1,Hyou1,Hspa8,Bag1,Pdia4
04380	04380	Osteoclast differentiation	118	28	1.84819712724445e-05	0.000622226366172297	Ikbkg,Jak1,Spi1,Creb1,Fcgr3,Mapk3,Mitf,Pirb,Fyn,Jund,Trem2,Csf1r,Tyrobp,Mapk11,Syk,Stat2,Tnfrsf1a,Jun,Ppp3cc,Lcp2,Cyba,Pik3cb,Pik3r5,Cybb,Ifnar2,Sqstm1,Blnk,Fcgr2b
04612	04612	Antigen processing and presentation	78	21	2.77622941317316e-05	0.000801140487801397	Hspa5,Creb1,B2m,H2-Aa,H2-D1,Psme3,Ctsb,H2-K1,H2-Eb1,Hspa4,Hsp90ab1,Pdia3,Calr,Hspa1b,Hsp90aa1,Ctsl,Cd74,Ctss,Hspa8,Lgmn,H2-Ab1
05150	05150	Staphylococcus aureus infection	50	15	0.0001020828698759	0.00257759246436648	C1qa,Fcgr3,C3ar1,H2-Aa,H2-Eb1,Itgb2,C4b,Itgam,Selplg,C1qb,C5ar1,C1qc,Fcgr2b,Masp1,H2-Ab1
04062	04062	Chemokine signaling pathway	185	36	0.000124807952537704	0.00280124515695736	Prkcd,Gng2,Jak3,Ikbkg,Wasl,Mapk3,Ccl7,Plcb1,Pf4,Ccl11,Nfkbib,Stat2,Rac2,Cxcl12,Adcy3,Ccl8,Adcy1,Pxn,Shc4,Pik3cb,Plcb4,Gnai1,Vav3,Ptk2b,Pik3r5,Ccl9,Ccl2,Dock2,Ccr2,Elmo1,Ccl6,Cxcl16,Kras,Foxo3,Gng5,Ccl3
00020	00020	Citrate cycle (TCA cycle)	31	11	0.000164377836904229	0.00332043230546542	Sucla2,Idh3a,Suclg2,Idh1,Ogdhl,Mdh2,Pcx,Sdhb,Cs,Dld,Dlat
