"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021700","BP","GO:0021700","developmental maturation","11/149","344/29008",1.78914070576266e-06,0.00350134836117753,0.00326565261451837,"Kcnip2/Fam210b/Slc22a14/Cntn2/Akap5/Ccr6/Sez6/Grem1/Actl6b/Kcne1/Sez6l2",11
"GO:0048469","BP","GO:0048469","cell maturation","8/149","214/29008",1.57254310909848e-05,0.0118005928562701,0.0110062275839886,"Kcnip2/Fam210b/Slc22a14/Cntn2/Akap5/Ccr6/Actl6b/Kcne1",8
"GO:0071695","BP","GO:0071695","anatomical structure maturation","9/149","290/29008",2.02648655763408e-05,0.0118005928562701,0.0110062275839886,"Kcnip2/Fam210b/Slc22a14/Cntn2/Akap5/Ccr6/Grem1/Actl6b/Kcne1",9
"GO:0008344","BP","GO:0008344","adult locomotory behavior","6/149","111/29008",2.41197605646809e-05,0.0118005928562701,0.0110062275839886,"Fgf12/Cntn2/Sez6/Drd2/Dmbx1/Sez6l2",6
"GO:0045161","BP","GO:0045161","neuronal ion channel clustering","3/149","13/29008",3.657741969027e-05,0.0143164020667717,0.0133526833143007,"Kcnip2/Cntn2/Akap5",3
"GO:0021680","BP","GO:0021680","cerebellar Purkinje cell layer development","4/149","39/29008",4.78089327596756e-05,0.0155936802351142,0.0145439805974171,"Sptbn2/Sez6/Lhx1/Sez6l2",4
"GO:0030534","BP","GO:0030534","adult behavior","7/149","190/29008",5.93222736619172e-05,0.0165848127937674,0.0154683943653781,"Fgf12/Cntn2/Sptbn2/Sez6/Drd2/Dmbx1/Sez6l2",7
"GO:0021953","BP","GO:0021953","central nervous system neuron differentiation","7/149","207/29008",0.000101468533971184,0.0248217401227008,0.023150847092899,"Cntn2/Drd2/Nhlh2/Lhx1/Tfap2a/Foxn4/Lhx8",7
"GO:0021954","BP","GO:0021954","central nervous system neuron development","5/149","93/29008",0.000120779937398595,0.0262629263876723,0.0244950188829431,"Cntn2/Drd2/Nhlh2/Tfap2a/Lhx8",5
"GO:0042551","BP","GO:0042551","neuron maturation","4/149","60/29008",0.000260704506092688,0.0510198718423391,0.0475854330068128,"Kcnip2/Cntn2/Akap5/Actl6b",4
"GO:0030902","BP","GO:0030902","hindbrain development","6/149","179/29008",0.00033612697459956,0.0578724195535072,0.053976696611775,"Sptbn2/Sez6/Nhlh2/Lhx1/Kcne1/Sez6l2",6
"GO:0021884","BP","GO:0021884","forebrain neuron development","3/149","27/29008",0.000354864095371531,0.0578724195535072,0.053976696611775,"Nhlh2/Tfap2a/Lhx8",3
"GO:0021695","BP","GO:0021695","cerebellar cortex development","4/149","69/29008",0.000445954562257889,0.0671333137183607,0.0626141871218769,"Sptbn2/Sez6/Lhx1/Sez6l2",4
"GO:0022037","BP","GO:0022037","metencephalon development","5/149","126/29008",0.000495663713069619,0.069286706176946,0.064622622440806,"Sptbn2/Sez6/Lhx1/Kcne1/Sez6l2",5
"GO:0002090","BP","GO:0002090","regulation of receptor internalization","4/149","77/29008",0.000676278734487368,0.0814033167322929,0.0759235947684672,"Apln/Akap5/Drd2/Grem1",4
"GO:0031623","BP","GO:0031623","receptor internalization","5/149","136/29008",0.000701189680607721,0.0814033167322929,0.0759235947684672,"Apln/Cntn2/Akap5/Drd2/Grem1",5
"GO:0002092","BP","GO:0002092","positive regulation of receptor internalization","3/149","34/29008",0.000707131519902391,0.0814033167322929,0.0759235947684672,"Apln/Drd2/Grem1",3
"GO:0030500","BP","GO:0030500","regulation of bone mineralization","4/149","84/29008",0.000937856153050418,0.0936003644398314,0.0872995895644072,"Cyp27b1/Grem1/Tfap2a/Matn1",4
"GO:0072210","BP","GO:0072210","metanephric nephron development","3/149","38/29008",0.000982027264811913,0.0936003644398314,0.0872995895644072,"Grem1/Lhx1/Tfap2a",3
"GO:0051180","BP","GO:0051180","vitamin transport","3/149","39/29008",0.00105987879248293,0.0936003644398314,0.0872995895644072,"Slc35f3/Stra6l/Slc44a4",3
"GO:1901385","BP","GO:1901385","regulation of voltage-gated calcium channel activity","3/149","40/29008",0.00114152494050921,0.0936003644398314,0.0872995895644072,"Stac2/Drd2/Kcne1",3
"GO:0021826","BP","GO:0021826","substrate-independent telencephalic tangential migration","2/149","10/29008",0.00114788387662542,0.0936003644398314,0.0872995895644072,"Cntn2/Drd2",2
"GO:0021843","BP","GO:0021843","substrate-independent telencephalic tangential interneuron migration","2/149","10/29008",0.00114788387662542,0.0936003644398314,0.0872995895644072,"Cntn2/Drd2",2
"GO:0021979","BP","GO:0021979","hypothalamus cell differentiation","2/149","10/29008",0.00114788387662542,0.0936003644398314,0.0872995895644072,"Nhlh2/Prop1",2
"GO:0021892","BP","GO:0021892","cerebral cortex GABAergic interneuron differentiation","2/149","11/29008",0.00139824422999274,0.109454558323832,0.102086547149786,"Cntn2/Drd2",2
"GO:0043270","BP","GO:0043270","positive regulation of ion transport","7/149","329/29008",0.00160986985252838,0.120203073297013,0.11211151821909,"Kcnip2/Fgf12/Stac2/Akap5/Drd2/Atp2c2/Kcne1",7
"GO:2001258","BP","GO:2001258","negative regulation of cation channel activity","3/149","46/29008",0.00171488081584899,0.120203073297013,0.11211151821909,"Fgf12/Drd2/Kcne1",3
"GO:0031214","BP","GO:0031214","biomineral tissue development","5/149","168/29008",0.00179515775119486,0.120203073297013,0.11211151821909,"Tspear/Cyp27b1/Grem1/Tfap2a/Matn1",5
"GO:0110148","BP","GO:0110148","biomineralization","5/149","170/29008",0.00189046046185884,0.120203073297013,0.11211151821909,"Tspear/Cyp27b1/Grem1/Tfap2a/Matn1",5
"GO:0060346","BP","GO:0060346","bone trabecula formation","2/149","13/29008",0.00196963851397866,0.120203073297013,0.11211151821909,"Cyp27b1/Grem1",2
"GO:0009953","BP","GO:0009953","dorsal/ventral pattern formation","4/149","103/29008",0.00199343304296838,0.120203073297013,0.11211151821909,"Grem1/Lhx1/Foxn4/Prop1",4
"GO:0070167","BP","GO:0070167","regulation of biomineral tissue development","4/149","103/29008",0.00199343304296838,0.120203073297013,0.11211151821909,"Cyp27b1/Grem1/Tfap2a/Matn1",4
"GO:0110149","BP","GO:0110149","regulation of biomineralization","4/149","105/29008",0.00213832193231947,0.120203073297013,0.11211151821909,"Cyp27b1/Grem1/Tfap2a/Matn1",4
"GO:0021984","BP","GO:0021984","adenohypophysis development","2/149","14/29008",0.00229018197807035,0.120203073297013,0.11211151821909,"Drd2/Prop1",2
"GO:0021879","BP","GO:0021879","forebrain neuron differentiation","3/149","51/29008",0.00230897514578936,0.120203073297013,0.11211151821909,"Nhlh2/Tfap2a/Lhx8",3
"GO:0048705","BP","GO:0048705","skeletal system morphogenesis","6/149","261/29008",0.00235624476618388,0.120203073297013,0.11211151821909,"Cyp27b1/Grem1/Lhx1/Tfap2a/Matn1/Cdx1",6
"GO:0043266","BP","GO:0043266","regulation of potassium ion transport","4/149","110/29008",0.00253203652228668,0.120203073297013,0.11211151821909,"Kcnip2/Akap5/Drd2/Kcne1",4
"GO:0007194","BP","GO:0007194","negative regulation of adenylate cyclase activity","2/149","15/29008",0.00263363245939312,0.120203073297013,0.11211151821909,"Akap5/Drd2",2
"GO:0043383","BP","GO:0043383","negative T cell selection","2/149","15/29008",0.00263363245939312,0.120203073297013,0.11211151821909,"Fas/Themis",2
