"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0018108","BP","GO:0018108","peptidyl-tyrosine phosphorylation","16/191","322/29008",5.00740591463849e-10,7.90156932197426e-07,6.13705338354171e-07,"Sh2d1b1/Adra1a/Chmp6/Btk/Lep/Unc119/Lck/Epha1/Cd300a/Cd36/Il7/Cck/Itgb2/Fcer1a/Ighm/Stap1",16
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification","16/191","325/29008",5.72992699200454e-10,7.90156932197426e-07,6.13705338354171e-07,"Sh2d1b1/Adra1a/Chmp6/Btk/Lep/Unc119/Lck/Epha1/Cd300a/Cd36/Il7/Cck/Itgb2/Fcer1a/Ighm/Stap1",16
"GO:0001818","BP","GO:0001818","negative regulation of cytokine production","15/191","292/29008",1.12800113181826e-09,1.03700904051826e-06,8.05432387105322e-07,"Ffar4/Sh2d1b1/Btk/Pdcd4/Cmklr1/Gpr18/Pparg/Gimap3/Cd200r1/Sigirr/Clec4a2/Tyrobp/Kat5/Slc11a1/C5ar2",15
"GO:0050730","BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","14/191","266/29008",3.01742252701869e-09,2.08051283237939e-06,1.61590916907448e-06,"Sh2d1b1/Adra1a/Chmp6/Lep/Unc119/Lck/Cd300a/Cd36/Il7/Cck/Itgb2/Fcer1a/Ighm/Stap1",14
"GO:0070661","BP","GO:0070661","leukocyte proliferation","15/191","358/29008",1.76008820643449e-08,8.1124918434781e-06,6.30087435650469e-06,"Dock8/Ccl12/Itgal/Spn/Btk/Lep/Sh3rf1/Cd1d1/Cd300a/Gsk3b/Il7/Itgb2/Ighm/Tyrobp/Slc11a1",15
"GO:0002686","BP","GO:0002686","negative regulation of leukocyte migration","7/191","45/29008",1.76486407037232e-08,8.1124918434781e-06,6.30087435650469e-06,"Ccl12/Slamf8/Gpr18/Cd200r1/Cd300a/Stap1/C5ar2",7
"GO:0050900","BP","GO:0050900","leukocyte migration","15/191","373/29008",3.02630606758524e-08,1.19236459062858e-05,9.26095165043001e-06,"Dock8/Ccl12/Slamf8/Itgal/Serpine1/Cxcl9/Spn/Cmklr1/Gpr18/Lep/Cd200r1/Cd300a/Itgb2/Stap1/C5ar2",15
"GO:0030336","BP","GO:0030336","negative regulation of cell migration","13/191","293/29008",8.37513889136909e-08,2.87613421521188e-05,2.23385868018632e-05,"Ccl12/Slamf8/Serpine1/Gpr18/Drd1/Pparg/Cd200r1/Epha1/Cd300a/Gsk3b/Stap1/C5ar2/Mctp1",13
"GO:0002689","BP","GO:0002689","negative regulation of leukocyte chemotaxis","5/191","18/29008",9.38549961454202e-08,2.87613421521188e-05,2.23385868018632e-05,"Ccl12/Slamf8/Gpr18/Stap1/C5ar2",5
"GO:2000146","BP","GO:2000146","negative regulation of cell motility","13/191","306/29008",1.3831706497956e-07,3.81478465213626e-05,2.96289712877268e-05,"Ccl12/Slamf8/Serpine1/Gpr18/Drd1/Pparg/Cd200r1/Epha1/Cd300a/Gsk3b/Stap1/C5ar2/Mctp1",13
