"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","BP","GO:0042254","ribosome biogenesis","4/42","296/29008",0.000876243168135477,0.183666033791314,0.144257987342513,"Eral1/Ddx49/Pwp1/Rrs1",4
"GO:0034470","BP","GO:0034470","ncRNA processing","4/42","362/29008",0.00183662341319382,0.183666033791314,0.144257987342513,"Ddx49/Pwp1/Rrs1/Trub2",4
"GO:0030890","BP","GO:0030890","positive regulation of B cell proliferation","2/42","46/29008",0.00203428074745282,0.183666033791314,0.144257987342513,"Gpr183/Atad5",2
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis","4/42","412/29008",0.0029311477630024,0.183666033791314,0.144257987342513,"Eral1/Ddx49/Pwp1/Rrs1",4
"GO:0120032","BP","GO:0120032","regulation of plasma membrane bounded cell projection assembly","3/42","199/29008",0.00299832825173978,0.183666033791314,0.144257987342513,"Podxl/Tesk1/Anln",3
"GO:0060491","BP","GO:0060491","regulation of cell projection assembly","3/42","202/29008",0.00312729200040988,0.183666033791314,0.144257987342513,"Podxl/Tesk1/Anln",3
"GO:0010659","BP","GO:0010659","cardiac muscle cell apoptotic process","2/42","60/29008",0.00343460588146832,0.183666033791314,0.144257987342513,"Rps6ka2/Sirt5",2
"GO:0031032","BP","GO:0031032","actomyosin structure organization","3/42","210/29008",0.00348774176958313,0.183666033791314,0.144257987342513,"Synpo/Tesk1/Anln",3
"GO:0006364","BP","GO:0006364","rRNA processing","3/42","214/29008",0.00367711582753827,0.183666033791314,0.144257987342513,"Ddx49/Pwp1/Rrs1",3
"GO:0010658","BP","GO:0010658","striated muscle cell apoptotic process","2/42","63/29008",0.00377932210026188,0.183666033791314,0.144257987342513,"Rps6ka2/Sirt5",2
"GO:0030865","BP","GO:0030865","cortical cytoskeleton organization","2/42","63/29008",0.00377932210026188,0.183666033791314,0.144257987342513,"Synpo/Anln",2
"GO:0042255","BP","GO:0042255","ribosome assembly","2/42","63/29008",0.00377932210026188,0.183666033791314,0.144257987342513,"Eral1/Rrs1",2
"GO:0034660","BP","GO:0034660","ncRNA metabolic process","4/42","453/29008",0.00411045837018649,0.183666033791314,0.144257987342513,"Ddx49/Pwp1/Rrs1/Trub2",4
"GO:0016072","BP","GO:0016072","rRNA metabolic process","3/42","224/29008",0.00417774533682218,0.183666033791314,0.144257987342513,"Ddx49/Pwp1/Rrs1",3
"GO:0032233","BP","GO:0032233","positive regulation of actin filament bundle assembly","2/42","68/29008",0.00438812995688383,0.183666033791314,0.144257987342513,"Synpo/Tesk1",2
"GO:0030888","BP","GO:0030888","regulation of B cell proliferation","2/42","71/29008",0.00477376516322135,0.183666033791314,0.144257987342513,"Gpr183/Atad5",2
"GO:0042274","BP","GO:0042274","ribosomal small subunit biogenesis","2/42","72/29008",0.00490567243593359,0.183666033791314,0.144257987342513,"Eral1/Rrs1",2
"GO:1901796","BP","GO:1901796","regulation of signal transduction by p53 class mediator","2/42","75/29008",0.0053114123524392,0.183666033791314,0.144257987342513,"Atad5/Rrs1",2
"GO:0002312","BP","GO:0002312","B cell activation involved in immune response","2/42","94/29008",0.00822232482792486,0.183666033791314,0.144257987342513,"Gpr183/Atad5",2
