"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045137","BP","GO:0045137","development of primary sexual characteristics","4/34","244/29008",0.000185748090098717,0.0945567981260767,0.0688627061400589,"Dach1/Tgfb2/Pcyt1b/Tiparp",4
"GO:0048705","BP","GO:0048705","skeletal system morphogenesis","4/34","261/29008",0.000240175114042564,0.0945567981260767,0.0688627061400589,"Csgalnact1/Tgfb2/Tiparp/Slc39a3",4
"GO:0046545","BP","GO:0046545","development of primary female sexual characteristics","3/34","120/29008",0.000376191623576777,0.0945567981260767,0.0688627061400589,"Dach1/Pcyt1b/Tiparp",3
"GO:0050995","BP","GO:0050995","negative regulation of lipid catabolic process","2/34","28/29008",0.000494496365511351,0.0945567981260767,0.0688627061400589,"Plin5/Adra2a",2
"GO:0007548","BP","GO:0007548","sex differentiation","4/34","317/29008",0.000501059694381298,0.0945567981260767,0.0688627061400589,"Dach1/Tgfb2/Pcyt1b/Tiparp",4
"GO:0007265","BP","GO:0007265","Ras protein signal transduction","4/34","330/29008",0.000582601513597966,0.0945567981260767,0.0688627061400589,"Ulk1/Tgfb2/Gna12/Lztr1",4
"GO:0046660","BP","GO:0046660","female sex differentiation","3/34","151/29008",0.000735013953707404,0.0945567981260767,0.0688627061400589,"Dach1/Pcyt1b/Tiparp",3
"GO:0046486","BP","GO:0046486","glycerolipid metabolic process","4/34","377/29008",0.000956795774886884,0.0945567981260767,0.0688627061400589,"Pcyt1b/Agpat5/Far1/Plin5",4
"GO:0060325","BP","GO:0060325","face morphogenesis","2/34","40/29008",0.0010114386721891,0.0945567981260767,0.0688627061400589,"Tgfb2/Tiparp",2
"GO:0045823","BP","GO:0045823","positive regulation of heart contraction","2/34","42/29008",0.00111483521300598,0.0945567981260767,0.0688627061400589,"Tgfb2/Scn3b",2
"GO:0060323","BP","GO:0060323","head morphogenesis","2/34","46/29008",0.0013362055829807,0.0945567981260767,0.0688627061400589,"Tgfb2/Tiparp",2
"GO:1903524","BP","GO:1903524","positive regulation of blood circulation","2/34","46/29008",0.0013362055829807,0.0945567981260767,0.0688627061400589,"Tgfb2/Scn3b",2
"GO:0043029","BP","GO:0043029","T cell homeostasis","2/34","48/29008",0.00145413545484572,0.0945567981260767,0.0688627061400589,"Tgfb2/Slc39a3",2
"GO:0007264","BP","GO:0007264","small GTPase mediated signal transduction","4/34","425/29008",0.00148795923565201,0.0945567981260767,0.0688627061400589,"Ulk1/Tgfb2/Gna12/Lztr1",4
"GO:0030857","BP","GO:0030857","negative regulation of epithelial cell differentiation","2/34","52/29008",0.00170437521196991,0.0945567981260767,0.0688627061400589,"S1pr3/Tgfb2",2
"GO:0048736","BP","GO:0048736","appendage development","3/34","206/29008",0.00179568137634305,0.0945567981260767,0.0688627061400589,"Tgfb2/Gna12/Slc39a3",3
"GO:0060173","BP","GO:0060173","limb development","3/34","206/29008",0.00179568137634305,0.0945567981260767,0.0688627061400589,"Tgfb2/Gna12/Slc39a3",3
"GO:0045017","BP","GO:0045017","glycerolipid biosynthetic process","3/34","208/29008",0.00184580704446966,0.0945567981260767,0.0688627061400589,"Pcyt1b/Far1/Plin5",3
"GO:0046580","BP","GO:0046580","negative regulation of Ras protein signal transduction","2/34","55/29008",0.00190455187296494,0.0945567981260767,0.0688627061400589,"Tgfb2/Lztr1",2
"GO:0048701","BP","GO:0048701","embryonic cranial skeleton morphogenesis","2/34","55/29008",0.00190455187296494,0.0945567981260767,0.0688627061400589,"Tgfb2/Slc39a3",2
"GO:0051216","BP","GO:0051216","cartilage development","3/34","212/29008",0.00194866806736763,0.0945567981260767,0.0688627061400589,"Csgalnact1/Tgfb2/Arid5a",3
"GO:0008654","BP","GO:0008654","phospholipid biosynthetic process","3/34","217/29008",0.00208219310988191,0.0945649855309861,0.0688686687664328,"Pcyt1b/Agpat5/Far1",3
"GO:0007188","BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","3/34","222/29008",0.00222129401459172,0.0945649855309861,0.0688686687664328,"S1pr3/Gna12/Adra2a",3
"GO:0060324","BP","GO:0060324","face development","2/34","61/29008",0.0023367236669532,0.0945649855309861,0.0688686687664328,"Tgfb2/Tiparp",2
"GO:0010171","BP","GO:0010171","body morphogenesis","2/34","62/29008",0.00241284555819984,0.0945649855309861,0.0688686687664328,"Tgfb2/Tiparp",2
"GO:0051058","BP","GO:0051058","negative regulation of small GTPase mediated signal transduction","2/34","62/29008",0.00241284555819984,0.0945649855309861,0.0688686687664328,"Tgfb2/Lztr1",2
"GO:0009896","BP","GO:0009896","positive regulation of catabolic process","4/34","494/29008",0.00257091764968038,0.0970283364823817,0.0706626488508642,"Ulk1/Tiparp/Plin5/Adra2a",4
"GO:0008406","BP","GO:0008406","gonad development","3/34","240/29008",0.00276945901872501,0.100788526431457,0.0734010754962832,"Tgfb2/Pcyt1b/Tiparp",3
"GO:0050994","BP","GO:0050994","regulation of lipid catabolic process","2/34","68/29008",0.00289389345338056,0.101685428586027,0.0740542607852376,"Plin5/Adra2a",2
"GO:0007193","BP","GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","2/34","70/29008",0.0030634424990767,0.104054930218639,0.0757798933982132,"S1pr3/Adra2a",2
"GO:0043627","BP","GO:0043627","response to estrogen","2/34","76/29008",0.00359939342340537,0.115290499761068,0.0839624010449389,"Tgfb2/Arid5a",2
"GO:1903522","BP","GO:1903522","regulation of blood circulation","3/34","264/29008",0.00362050637129949,0.115290499761068,0.0839624010449389,"Tgfb2/Scn3b/Adra2a",3
"GO:1904888","BP","GO:1904888","cranial skeletal system development","2/34","79/29008",0.0038825975872608,0.11988990731572,0.0873120031584965,"Tgfb2/Slc39a3",2
"GO:0002260","BP","GO:0002260","lymphocyte homeostasis","2/34","82/29008",0.0041758604442799,0.125152993903565,0.0911449415856759,"Tgfb2/Slc39a3",2
"GO:0061448","BP","GO:0061448","connective tissue development","3/34","288/29008",0.00461587769072812,0.134387981910056,0.0978704893823556,"Csgalnact1/Tgfb2/Arid5a",3
"GO:0002718","BP","GO:0002718","regulation of cytokine production involved in immune response","2/34","97/29008",0.00579062051482612,0.142164175855709,0.103533643900909,"Tgfb2/Arid5a",2
"GO:0032147","BP","GO:0032147","activation of protein kinase activity","2/34","100/29008",0.00614277951869847,0.142164175855709,0.103533643900909,"Tgfb2/Adra2a",2
"GO:0060021","BP","GO:0060021","roof of mouth development","2/34","101/29008",0.0062622973095737,0.142164175855709,0.103533643900909,"Tgfb2/Tiparp",2
