"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006953","BP","GO:0006953","acute-phase response","5/230","41/29008",1.78150164570557e-05,0.0282512743507767,0.0250415257597485,"Il1rn/Saa3/Serpina3n/Serpina1b/Orm2",5
"GO:0007128","BP","GO:0007128","meiotic prophase I","3/230","10/29008",5.6662270844829e-05,0.0282512743507767,0.0250415257597485,"Mlh1/Topaz1/Xrcc5",3
"GO:0051324","BP","GO:0051324","prophase","3/230","10/29008",5.6662270844829e-05,0.0282512743507767,0.0250415257597485,"Mlh1/Topaz1/Xrcc5",3
"GO:0045088","BP","GO:0045088","regulation of innate immune response","9/230","217/29008",6.32582646749583e-05,0.0282512743507767,0.0250415257597485,"Mmp12/Klrb1c/Adam8/Klrc1/Pvr/Cactin/Xrcc5/Serpinb9b/Polr3d",9
"GO:0098762","BP","GO:0098762","meiotic cell cycle phase","3/230","11/29008",7.74544895564069e-05,0.0282512743507767,0.0250415257597485,"Mlh1/Topaz1/Xrcc5",3
"GO:0098764","BP","GO:0098764","meiosis I cell cycle phase","3/230","11/29008",7.74544895564069e-05,0.0282512743507767,0.0250415257597485,"Mlh1/Topaz1/Xrcc5",3
"GO:0045089","BP","GO:0045089","positive regulation of innate immune response","7/230","131/29008",8.72417036698472e-05,0.0282512743507767,0.0250415257597485,"Mmp12/Klrb1c/Adam8/Klrc1/Pvr/Xrcc5/Polr3d",7
"GO:0000279","BP","GO:0000279","M phase","3/230","12/29008",0.000102668260542881,0.0282512743507767,0.0250415257597485,"Mlh1/Topaz1/Xrcc5",3
"GO:0070555","BP","GO:0070555","response to interleukin-1","6/230","97/29008",0.000126071382355668,0.0282512743507767,0.0250415257597485,"Il1rn/Rc3h1/Saa3/Hdac4/Cactin/Yy1",6
"GO:0120162","BP","GO:0120162","positive regulation of cold-induced thermogenesis","6/230","97/29008",0.000126071382355668,0.0282512743507767,0.0250415257597485,"G0s2/Cxcr4/Prkab1/Oxtr/Hsf1/Fgf21",6
"GO:0031341","BP","GO:0031341","regulation of cell killing","7/230","139/29008",0.000126436632064108,0.0282512743507767,0.0250415257597485,"Cx3cr1/Il7r/Klrb1c/Klrc1/Pvr/Serpinb9b/Cd5l",7
"GO:0002573","BP","GO:0002573","myeloid leukocyte differentiation","9/230","238/29008",0.000127815916630977,0.0282512743507767,0.0250415257597485,"Ubd/Hsf1/Clec2i/Adam8/Ocstamp/Jun/Snx10/Itgb3/Batf3",9
"GO:0001659","BP","GO:0001659","temperature homeostasis","8/230","188/29008",0.000135522718287859,0.0282512743507767,0.0250415257597485,"G0s2/Il1rn/Cxcr4/Prkab1/Oxtr/Hsf1/Fgf21/Aldh1a1",8
"GO:0120161","BP","GO:0120161","regulation of cold-induced thermogenesis","7/230","145/29008",0.000164346709328286,0.0300835937208195,0.0266656674581123,"G0s2/Cxcr4/Prkab1/Oxtr/Hsf1/Fgf21/Aldh1a1",7
"GO:0030099","BP","GO:0030099","myeloid cell differentiation","12/230","426/29008",0.0001665143563883,0.0300835937208195,0.0266656674581123,"Ubd/Hsf1/Clec2i/Adam8/Ocstamp/Jun/Snx10/Kat8/Prmt1/Itgb3/Batf3/Dmtn",12
"GO:0106106","BP","GO:0106106","cold-induced thermogenesis","7/230","147/29008",0.000178852747400768,0.0302931840910051,0.0268514453663522,"G0s2/Cxcr4/Prkab1/Oxtr/Hsf1/Fgf21/Aldh1a1",7
"GO:0006260","BP","GO:0006260","DNA replication","9/230","253/29008",0.000201906310074981,0.0321862411943057,0.0285294241232883,"Brpf3/Poln/Grwd1/Alyref/Jun/Rbbp4/Dna2/Pold2/Zfp830",9
"GO:0002526","BP","GO:0002526","acute inflammatory response","6/230","110/29008",0.000250901946988099,0.0377746820187638,0.0334829381887042,"Il1rn/Saa3/Adam8/Serpina3n/Serpina1b/Orm2",6
"GO:1990845","BP","GO:1990845","adaptive thermogenesis","7/230","162/29008",0.000323878644278894,0.0461953224208318,0.0409468734761461,"G0s2/Cxcr4/Prkab1/Oxtr/Hsf1/Fgf21/Aldh1a1",7
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus","10/230","337/29008",0.000386540740174172,0.0496831437839548,0.0440384284773684,"Mmp12/Klrb1c/Adam8/Ptpn22/Klrc1/Pvr/Cactin/Xrcc5/Serpinb9b/Polr3d",10
"GO:0001910","BP","GO:0001910","regulation of leukocyte mediated cytotoxicity","6/230","120/29008",0.000400739779024329,0.0496831437839548,0.0440384284773684,"Cx3cr1/Il7r/Klrb1c/Klrc1/Pvr/Serpinb9b",6
"GO:0001909","BP","GO:0001909","leukocyte mediated cytotoxicity","7/230","168/29008",0.000403331794556091,0.0496831437839548,0.0440384284773684,"Cx3cr1/Il7r/Klrb1c/Klrc1/Pvr/Stxbp2/Serpinb9b",7
"GO:0071347","BP","GO:0071347","cellular response to interleukin-1","5/230","80/29008",0.000444784472153986,0.0524072138929261,0.0464530052839998,"Il1rn/Rc3h1/Saa3/Cactin/Yy1",5
"GO:0002833","BP","GO:0002833","positive regulation of response to biotic stimulus","7/230","173/29008",0.000480822204915978,0.0542928406384291,0.0481243978779939,"Mmp12/Klrb1c/Adam8/Klrc1/Pvr/Xrcc5/Polr3d",7
"GO:0002697","BP","GO:0002697","regulation of immune effector process","11/230","424/29008",0.000616688130446361,0.0667713126248601,0.0591851370790176,"Cx3cr1/Mlh1/Il7r/Klrb1c/Rc3h1/Ptpn22/Klrc1/Pvr/Stxbp2/Serpinb9b/Cd5l",11
"GO:0006281","BP","GO:0006281","DNA repair","12/230","495/29008",0.000640610379426703,0.0667713126248601,0.0591851370790176,"Npas2/Poln/Mlh1/Hsf1/Hspa1a/Yy1/Smc4/Chd1l/Xrcc5/Eya3/Dna2/Pold2",12
"GO:0022403","BP","GO:0022403","cell cycle phase","3/230","22/29008",0.000677790485644367,0.0680300820776383,0.0603008923290622,"Mlh1/Topaz1/Xrcc5",3
"GO:0010951","BP","GO:0010951","negative regulation of endopeptidase activity","7/230","187/29008",0.000762412545860497,0.0737906428314981,0.0654069710396111,"Serpina1a/Serpina3m/Serpina3n/Serpinb9b/Serpina3a/Serpina1b/Il9r",7
"GO:0002761","BP","GO:0002761","regulation of myeloid leukocyte differentiation","6/230","137/29008",0.000806715640566412,0.0753861857218957,0.0668212374509093,"Hsf1/Clec2i/Adam8/Ocstamp/Jun/Itgb3",6
"GO:0007162","BP","GO:0007162","negative regulation of cell adhesion","9/230","310/29008",0.000876829990936785,0.0792069758479562,0.0702079312041314,"Il1rn/Mmp12/Rc3h1/Rnd1/Adam8/Ptpn22/Coro2b/Rcc2/Dmtn",9
"GO:0007229","BP","GO:0007229","integrin-mediated signaling pathway","5/230","96/29008",0.00102090324897673,0.0840726587887145,0.0745208030125641,"Itgax/Itgad/Rcc2/Itgb3/Dmtn",5
"GO:0034113","BP","GO:0034113","heterotypic cell-cell adhesion","4/230","56/29008",0.00102376300370021,0.0840726587887145,0.0745208030125641,"Il1rn/Itgax/Itgad/Itgb3",4
"GO:0042269","BP","GO:0042269","regulation of natural killer cell mediated cytotoxicity","4/230","56/29008",0.00102376300370021,0.0840726587887145,0.0745208030125641,"Klrb1c/Klrc1/Pvr/Serpinb9b",4
"GO:0019722","BP","GO:0019722","calcium-mediated signaling","7/230","198/29008",0.00106419435406838,0.0848225499860389,0.0751854958508995,"Cxcr4/Cx3cr1/Cacna1d/Ppp3cc/Hdac4/Tpcn2/Dmtn",7
"GO:0001906","BP","GO:0001906","cell killing","8/230","260/29008",0.00116539938963313,0.0874679967243475,0.0775303820256209,"Cx3cr1/Il7r/Klrb1c/Klrc1/Pvr/Stxbp2/Serpinb9b/Cd5l",8
"GO:0010761","BP","GO:0010761","fibroblast migration","4/230","58/29008",0.00116807492672461,0.0874679967243475,0.0775303820256209,"Tmem201/Rcc2/Itgb3/Dmtn",4
"GO:0010466","BP","GO:0010466","negative regulation of peptidase activity","8/230","261/29008",0.00119421250140253,0.0874679967243475,0.0775303820256209,"Serpina1a/Serpina3m/Serpina3n/Cstb/Serpinb9b/Serpina3a/Serpina1b/Il9r",8
"GO:0002715","BP","GO:0002715","regulation of natural killer cell mediated immunity","4/230","59/29008",0.00124531748347125,0.088810799479134,0.0787206231933904,"Klrb1c/Klrc1/Pvr/Serpinb9b",4
"GO:0032479","BP","GO:0032479","regulation of type I interferon production","5/230","101/29008",0.00128139799168215,0.0888876294726917,0.0787887242014692,"Mmp12/Ptpn22/Cactin/Yy1/Polr3d",5
"GO:0001523","BP","GO:0001523","retinoid metabolic process","4/230","60/29008",0.00132606270998326,0.0888876294726917,0.0787887242014692,"Dhrs9/Adh6b/Dhrs13/Aldh1a1",4
"GO:0042573","BP","GO:0042573","retinoic acid metabolic process","3/230","28/29008",0.00139219990591333,0.0888876294726917,0.0787887242014692,"Dhrs9/Adh6b/Aldh1a1",3
"GO:0032606","BP","GO:0032606","type I interferon production","5/230","103/29008",0.00139824303342419,0.0888876294726917,0.0787887242014692,"Mmp12/Ptpn22/Cactin/Yy1/Polr3d",5
"GO:0010812","BP","GO:0010812","negative regulation of cell-substrate adhesion","4/230","61/29008",0.00141039412078441,0.0888876294726917,0.0787887242014692,"Mmp12/Coro2b/Rcc2/Dmtn",4
"GO:0016101","BP","GO:0016101","diterpenoid metabolic process","4/230","62/29008",0.00149839503888729,0.0922875126223763,0.0818023320272918,"Dhrs9/Adh6b/Dhrs13/Aldh1a1",4
"GO:0031349","BP","GO:0031349","positive regulation of defense response","8/230","273/29008",0.00158638329341495,0.0936594778332007,0.0830184223792442,"Npas2/Mmp12/Klrb1c/Adam8/Klrc1/Pvr/Xrcc5/Polr3d",8
"GO:0006325","BP","GO:0006325","chromatin organization","11/230","477/29008",0.0015897918746595,0.0936594778332007,0.0830184223792442,"Brpf3/Tet3/Grwd1/Prmt5/Hdac4/Kdm5b/Chd1l/Tspyl4/Rbbp4/Kat8/Eya3",11
