"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051782","BP","GO:0051782","negative regulation of cell division","2/36","15/29008",0.000155642252295274,0.0668217506463755,0.0495760610375772,"Blm/Chmp4c",2
"GO:0046755","BP","GO:0046755","viral budding","2/36","19/29008",0.000252683971473601,0.0668217506463755,0.0495760610375772,"Chmp4c/Vps37b",2
"GO:0006260","BP","GO:0006260","DNA replication","4/36","253/29008",0.000267252711792072,0.0668217506463755,0.0495760610375772,"Blm/Tbrg1/Rnaseh1/Tnfaip1",4
"GO:1903204","BP","GO:1903204","negative regulation of oxidative stress-induced neuron death","2/36","24/29008",0.000406251931279298,0.0668217506463755,0.0495760610375772,"Tsc1/Nono",2
"GO:0019068","BP","GO:0019068","virion assembly","2/36","27/29008",0.000515438235803446,0.0668217506463755,0.0495760610375772,"Chmp4c/Vps37b",2
"GO:0031647","BP","GO:0031647","regulation of protein stability","4/36","307/29008",0.000554838621184522,0.0668217506463755,0.0495760610375772,"Tsc1/Ddost/Cct7/Tbrg1",4
"GO:0032200","BP","GO:0032200","telomere organization","3/36","130/29008",0.000563556933162203,0.0668217506463755,0.0495760610375772,"Hat1/Cct7/Blm",3
"GO:1903203","BP","GO:1903203","regulation of oxidative stress-induced neuron death","2/36","35/29008",0.000868312372845375,0.0671201198337353,0.0497974256217313,"Tsc1/Nono",2
"GO:0019076","BP","GO:0019076","viral release from host cell","2/36","37/29008",0.000970411371090148,0.0671201198337353,0.0497974256217313,"Chmp4c/Vps37b",2
"GO:0035890","BP","GO:0035890","exit from host","2/36","37/29008",0.000970411371090148,0.0671201198337353,0.0497974256217313,"Chmp4c/Vps37b",2
"GO:0035891","BP","GO:0035891","exit from host cell","2/36","37/29008",0.000970411371090148,0.0671201198337353,0.0497974256217313,"Chmp4c/Vps37b",2
"GO:0036475","BP","GO:0036475","neuron death in response to oxidative stress","2/36","37/29008",0.000970411371090148,0.0671201198337353,0.0497974256217313,"Tsc1/Nono",2
"GO:0043462","BP","GO:0043462","regulation of ATPase activity","2/36","45/29008",0.0014335350891727,0.09152570184718,0.0679042936976542,"Dnajb11/Tsc1",2
