"AnnotationCluster"	"EnrichmentScore"	"filteredClusterSize"	"Term"	"Annotated_GO 1"	"Significant_GO 1"	"Pvalue_GO 1"	"Padj_GO 1"	"GeneID_GO 1"	"Annotated_GO 2"	"Significant_GO 2"	"Pvalue_GO 2"	"Padj_GO 2"	"GeneID_GO 2"	"Annotated_KEGG 1"	"Significant_KEGG 1"	"Pvalue_KEGG 1"	"Padj_KEGG 1"	"GeneID_KEGG 1"	"GeneID"	"Annot"	"Pvalue"	"Padj"	"Cluster"
"GO:0016125"	7	20.456830876282	3	"sterol metabolic process"	NA	NA	NA	NA	NA	124	22	1.11987152963033e-21	8.56257602808571e-19	"Dhcr7,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Ldlr,Fdps,Mvd,Lss,Nsdhl,Fdft1,Hsd17b7,Hmgcs2,Mbtps1,Srebf2,Hmgcr,Abca2,Mvk,Hmgcs1,Sqle,Msmo1"	NA	NA	NA	NA	NA	"Dhcr7,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Ldlr,Fdps,Mvd,Lss,Nsdhl,Fdft1,Hsd17b7,Hmgcs2,Mbtps1,Srebf2,Hmgcr,Abca2,Mvk,Hmgcs1,Sqle,Msmo1"	"GO:0016125"	1.11987152963033e-21	8.56257602808571e-19	"GO:0008203,GO:1902652,GO:0016125"
"GO:0016043"	10	5.17232526270924	2	"cellular component organization"	NA	NA	NA	NA	NA	5645	85	5.31274032778293e-06	0.000476648164279807	"Rab34,Vat1,Cd24a,Per2,Sptb,Col1a2,Rtp4,Dhcr24,Hspa5,Murc,Iqgap2,Angptl4,Frmd3,Insig1,Gna12,Arhgef10,Mal,Arhgap24,Snta1,Epyc,Leo1,Limch1,Rgcc,Dscc1,C1qtnf6,Lox,Scn3b,Drp2,Cacna1s,Chd5,Efr3b,Col1a1,Sgk1,Bicd1,Spag9,Pmp22,Myo10,Tesk2,Nav1,Fdps,Sesn1,Fscn1,Mpz,Xbp1,Cxcl12,Acsl3,Dusp18,Trp53,Emp2,Tet3,Lrrc8a,Adipor1,Adcy1,Serpine2,Marcks,Hsf4,Ikbkb,Mbtps1,Col14a1,Sparc,Pmp2,Cd63,Cdkn2d,Plxnd1,Fa2h,Srebf2,Fam107a,Hmgcr,Mtmr2,Mbp,Mzb1,Hsd17b12,Prex2,Col4a1,Mid1ip1,Hspa8,Fitm1,Sema5a,Ppid,Manf,Ugt8a,Tmod2,Tacc1,Glul,Ash2l"	NA	NA	NA	NA	NA	"Rab34,Vat1,Cd24a,Per2,Sptb,Col1a2,Rtp4,Dhcr24,Hspa5,Murc,Iqgap2,Angptl4,Frmd3,Insig1,Gna12,Arhgef10,Mal,Arhgap24,Snta1,Epyc,Leo1,Limch1,Rgcc,Dscc1,C1qtnf6,Lox,Scn3b,Drp2,Cacna1s,Chd5,Efr3b,Col1a1,Sgk1,Bicd1,Spag9,Pmp22,Myo10,Tesk2,Nav1,Fdps,Sesn1,Fscn1,Mpz,Xbp1,Cxcl12,Acsl3,Dusp18,Trp53,Emp2,Tet3,Lrrc8a,Adipor1,Adcy1,Serpine2,Marcks,Hsf4,Ikbkb,Mbtps1,Col14a1,Sparc,Pmp2,Cd63,Cdkn2d,Plxnd1,Fa2h,Srebf2,Fam107a,Hmgcr,Mtmr2,Mbp,Mzb1,Hsd17b12,Prex2,Col4a1,Mid1ip1,Hspa8,Fitm1,Sema5a,Ppid,Manf,Ugt8a,Tmod2,Tacc1,Glul,Ash2l"	"GO:0016043"	5.31274032778293e-06	0.000476648164279807	"GO:0016043,GO:0071840"
"GO:0042552"	6	5.11021650785468	3	"myelination"	NA	NA	NA	NA	NA	135	9	7.16375503346514e-06	0.000569681337774876	"Arhgef10,Mal,Pmp22,Mpz,Fa2h,Mtmr2,Mbp,Id4,Ugt8a"	NA	NA	NA	NA	NA	"Arhgef10,Mal,Pmp22,Mpz,Fa2h,Mtmr2,Mbp,Id4,Ugt8a"	"GO:0042552"	7.16375503346514e-06	0.000569681337774876	"GO:0007272,GO:0008366,GO:0042552"
"GO:0009240"	8	4.75090108173635	2	"isopentenyl diphosphate biosynthetic process"	NA	NA	NA	NA	NA	6	3	1.77459363000614e-05	0.00119727535176987	"Mvd,Idi1,Mvk"	NA	NA	NA	NA	NA	"Mvd,Idi1,Mvk"	"GO:0009240"	1.77459363000614e-05	0.00119727535176987	"GO:0009240,GO:0046490"
"GO:0046490"	21	4.75090108173635	2	"isopentenyl diphosphate metabolic process"	NA	NA	NA	NA	NA	6	3	1.77459363000614e-05	0.00119727535176987	"Mvd,Idi1,Mvk"	NA	NA	NA	NA	NA	"Mvd,Idi1,Mvk"	"GO:0046490"	1.77459363000614e-05	0.00119727535176987	"GO:0046490,GO:0009240"
"GO:0006720"	4	4.63052716320508	2	"isoprenoid metabolic process"	NA	NA	NA	NA	NA	73	9	3.74573106158648e-08	4.68082606588968e-06	"Fdps,Dhrs3,Fdft1,Hmgcs2,Mvd,Idi1,Hmgcr,Mvk,Hmgcs1"	NA	NA	NA	NA	NA	"Fdps,Dhrs3,Fdft1,Hmgcs2,Mvd,Idi1,Hmgcr,Mvk,Hmgcs1"	"GO:0006720"	3.74573106158648e-08	4.68082606588968e-06	"GO:0006720,GO:0008299"
"GO:0072330"	11	4.44234215213845	3	"monocarboxylic acid biosynthetic process"	170	4	2.53e-05	0.001547901	"Acly,Acaca,Fasn,Acss2"	170	11	9.17339472935111e-07	9.72657822969683e-05	"Per2,Insig1,Acly,Fads2,Elovl4,Stard4,Acsl3,Elovl6,Acss2,Fa2h,Mid1ip1"	NA	NA	NA	NA	NA	"Acly,Acaca,Fasn,Acss2,Per2,Insig1,Acly,Fads2,Elovl4,Stard4,Acsl3,Elovl6,Acss2,Fa2h,Mid1ip1"	"GO:0072330"	1.31086697364676e-05	0.000822583391148484	"GO:0016053,GO:0046394,GO:0072330"
"GO:0006810"	5	4.09197967747982	2	"transport"	NA	NA	NA	NA	NA	4313	66	6.32124215844864e-05	0.00351079782736695	"Rab34,Slc39a13,Cd24a,Tfg,Per2,Azin1,Clec5a,Kcnk1,Rtp4,Hspa5,Insig1,Slc7a2,Slc25a1,Snta1,Rgcc,Cacng1,Fads2,Klf15,Slco3a1,Scn3b,Cacna1s,Col1a1,Sgk1,Syngr3,Bicd1,Spag9,Slc6a2,Myo10,Stard4,Ldlr,Slc25a23,Atxn1,Xbp1,Cxcl12,Acsl3,Dusp18,Trp53,Emp2,Lrrc8a,Pdia6,Serpine2,Slc9a9,Ikbkb,Mbtps1,Pmp2,Cd63,Fa2h,Srebf2,Hmgcr,Mtmr2,Hnrnpm,Abca2,Cdh3,Hyou1,Tmem63b,Mbp,Mzb1,Trpm3,Hspa8,Sema5a,Aacs,Slc41a1,Ppid,Mapk8ip1,Acat2,Glul"	NA	NA	NA	NA	NA	"Rab34,Slc39a13,Cd24a,Tfg,Per2,Azin1,Clec5a,Kcnk1,Rtp4,Hspa5,Insig1,Slc7a2,Slc25a1,Snta1,Rgcc,Cacng1,Fads2,Klf15,Slco3a1,Scn3b,Cacna1s,Col1a1,Sgk1,Syngr3,Bicd1,Spag9,Slc6a2,Myo10,Stard4,Ldlr,Slc25a23,Atxn1,Xbp1,Cxcl12,Acsl3,Dusp18,Trp53,Emp2,Lrrc8a,Pdia6,Serpine2,Slc9a9,Ikbkb,Mbtps1,Pmp2,Cd63,Fa2h,Srebf2,Hmgcr,Mtmr2,Hnrnpm,Abca2,Cdh3,Hyou1,Tmem63b,Mbp,Mzb1,Trpm3,Hspa8,Sema5a,Aacs,Slc41a1,Ppid,Mapk8ip1,Acat2,Glul"	"GO:0006810"	6.32124215844864e-05	0.00351079782736695	"GO:0006810,GO:0051234"
"GO:0001568"	2	4.07869231209185	3	"blood vessel development"	NA	NA	NA	NA	NA	634	18	5.23906813068759e-05	0.00305524989821265	"Dhcr7,Col1a2,Angptl4,Arhgap24,Rgcc,Lox,Col4a2,Col1a1,Nsdhl,Xbp1,Cxcl12,Emp2,Sparc,Hif3a,Plxnd1,Ppp1r16b,Col4a1,Sema5a"	NA	NA	NA	NA	NA	"Dhcr7,Col1a2,Angptl4,Arhgap24,Rgcc,Lox,Col4a2,Col1a1,Nsdhl,Xbp1,Cxcl12,Emp2,Sparc,Hif3a,Plxnd1,Ppp1r16b,Col4a1,Sema5a"	"GO:0001568"	5.23906813068759e-05	0.00305524989821265	"GO:0001568,GO:0072358,GO:0001944"
"GO:0030198"	13	3.78136595925071	2	"extracellular matrix organization"	NA	NA	NA	NA	NA	201	9	0.000162386184522747	0.00710236574556363	"Col1a2,Rgcc,Lox,Col1a1,Fscn1,Col14a1,Hsd17b12,Sema5a,Col4a1"	NA	NA	NA	NA	NA	"Col1a2,Rgcc,Lox,Col1a1,Fscn1,Col14a1,Hsd17b12,Sema5a,Col4a1"	"GO:0030198"	0.000162386184522747	0.00710236574556363	"GO:0030198,GO:0043062"
