geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	122.4541298	0.134623548	0.371570411	0.362309656	0.717120643	0.999882928
Rp1	2.231198612	-1.684770773	2.965502496	-0.568123202	0.569951314	0.999882928
Sox17	345.4049789	0.017995859	0.267213668	0.067346328	0.946305996	0.999882928
Mrpl15	1235.172044	0.128691873	0.128463901	1.001774601	0.316452467	0.999882928
Lypla1	1810.133619	0.100823621	0.102213862	0.986398702	0.323937502	0.999882928
Tcea1	1883.905584	-0.035893062	0.129483967	-0.277200819	0.781625911	0.999882928
Rgs20	83.99996255	-0.398294249	0.512224827	-0.777577011	0.436818418	0.999882928
Atp6v1h	7923.99816	0.080374783	0.098884854	0.812811867	0.416325931	0.999882928
Oprk1	105.979084	0.283956922	0.396127048	0.716832954	0.473477175	0.999882928
Npbwr1	0.038033754	0.418135593	4.279685594	0.097702409	0.922168602	0.999882928
Rb1cc1	4204.958859	0.069119069	0.159838438	0.432430835	0.665428312	0.999882928
Fam150a	0	NA	NA	NA	NA	NA
St18	2.231387864	0.508027535	2.262152178	0.224577082	0.822308296	0.999882928
Pcmtd1	2510.918094	0.062760048	0.095153648	0.659565343	0.509532801	0.999882928
Sntg1	229.9732116	-0.015283439	0.25580342	-0.059746814	0.952357286	0.999882928
Rrs1	824.3028602	-0.004265063	0.148656098	-0.028690806	0.977111189	0.999882928
Adhfe1	102.7633225	-0.002614583	0.38349002	-0.006817864	0.994560174	0.999882928
2610203C22Rik	15.40889246	0.504913693	1.036898742	0.486945998	0.6262966	0.999882928
3110035E14Rik	2.614695705	1.943409188	2.558308695	0.759646086	0.447466163	0.999882928
Mybl1	197.3862325	-0.056966497	0.219766294	-0.259213987	0.79547014	0.999882928
Vcpip1	1867.691308	0.094539821	0.147819872	0.639560969	0.522458064	0.999882928
1700034P13Rik	3.055671643	-0.27344676	1.979769835	-0.13812048	0.8901452	0.999882928
Sgk3	333.030775	0.160123873	0.189576264	0.844640939	0.398311344	0.999882928
Mcmdc2	17.15268662	0.826241815	1.148542918	0.719382621	0.471905202	0.999882928
Snhg6	253.8565971	-0.070184482	0.246384869	-0.284857111	0.775753616	0.999882928
Snord87	3.126780384	2.094363557	3.287889668	0.636993259	0.524129234	0.999882928
Tcf24	17.5084001	-0.752668623	0.998747049	-0.753612862	0.451081719	0.999882928
Ppp1r42	0.185865462	2.056156461	4.249826683	0.483821251	0.628512732	0.999882928
Cops5	5540.916469	0.021012446	0.084600691	0.248372039	0.803846565	0.999882928
Cspp1	384.5258162	0.087452863	0.212930341	0.41071114	0.681284357	0.999882928
Arfgef1	5380.785505	0.013619113	0.127341492	0.106949532	0.914829017	0.999882928
Cpa6	5.543755148	-0.574788981	1.77404102	-0.323999826	0.745938166	0.999882928
Mir467e	0	NA	NA	NA	NA	NA
Prex2	889.1054975	-0.022012878	0.149849892	-0.146899525	0.883211327	0.999882928
A830018L16Rik	2305.000748	0.016253166	0.125759946	0.129239608	0.897168057	0.999882928
Mir6341	0	NA	NA	NA	NA	NA
Gm17644	0.034248072	-0.06275875	4.279685594	-0.014664337	0.988299972	0.999882928
Sulf1	1075.586018	-0.066360582	0.122591128	-0.541316351	0.588289552	0.999882928
Slco5a1	1491.830987	-0.155080827	0.145293703	-1.067360965	0.285808868	0.999882928
Prdm14	0	NA	NA	NA	NA	NA
Ncoa2	2665.533412	0.035017143	0.115962328	0.301969991	0.76267494	0.999882928
Tram1	1683.396509	-0.018418397	0.084164138	-0.21883901	0.826775458	0.999882928
Lactb2	882.4918575	0.274610042	0.162407222	1.690873339	0.090860996	0.999882928
Xkr9	0.127978983	-1.837222701	4.260448004	-0.431227584	0.666302899	0.999882928
Gm5523	6.989521365	-0.3043917	1.05921519	-0.287374749	0.773825393	0.999882928
Eya1	28.69912549	1.037518732	0.662863942	1.565206171	0.117534575	0.999882928
