geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	309.7462346	-0.570050974	0.284128444	-2.006314353	0.04482272	0.188255422
Rp1	1.902753368	-4.953623326	4.001230651	-1.238024937	0.215706814	NA
Sox17	1492.653037	-0.035101803	0.156355055	-0.224500595	0.822367804	0.925613704
Mrpl15	722.0291944	0.224336876	0.197806466	1.134123069	0.256742928	0.521165745
Lypla1	1559.482046	0.063296499	0.143791362	0.440196807	0.659794572	0.837983586
Tcea1	3607.074483	-0.172210072	0.10869314	-1.584369278	0.113109709	0.328765043
Rgs20	7.402061753	1.268158483	1.792052633	0.70765694	0.479158324	NA
Atp6v1h	1629.492303	0.306077101	0.130281282	2.34935591	0.018805921	0.106924533
Oprk1	0.483103054	2.762318865	4.023497306	0.686546717	0.492368415	NA
Npbwr1	0	NA	NA	NA	NA	NA
Rb1cc1	3040.932633	-0.015302975	0.095875844	-0.159612411	0.873186402	0.949493047
Fam150a	0.62295933	-3.562178723	4.012073074	-0.887864866	0.374613445	NA
St18	1.376118662	0.569347539	3.942524985	0.144411904	0.885175217	NA
Pcmtd1	4166.526847	0.011558159	0.080815982	0.143018239	0.886275777	0.955575872
Sntg1	12.74052845	2.898859341	1.622620679	1.786529273	0.074013602	NA
Rrs1	911.1689139	0.356635676	0.15355482	2.322530009	0.020204415	0.111841506
Adhfe1	1226.186206	0.767515677	0.357040204	2.149661772	0.031581978	0.150755557
2610203C22Rik	24.31882432	0.253608097	0.972190859	0.260862457	0.794198577	0.913477931
3110035E14Rik	8.46083223	0.915756779	2.055550001	0.445504502	0.655955207	NA
Mybl1	178.0420799	0.14898164	0.362170092	0.411358209	0.680809893	0.850243794
Vcpip1	1287.476288	0.068952644	0.154114353	0.447412213	0.65457746	0.835201637
1700034P13Rik	3.563974461	0.574799451	2.374577224	0.242063912	0.808730641	NA
Sgk3	1267.822206	-0.1562492	0.16583194	-0.942214147	0.346083012	0.611559348
Mcmdc2	4.507987441	5.143166409	2.958908843	1.738196978	0.082176111	NA
Snhg6	195.5408855	0.06397733	0.255060196	0.250832279	0.801943784	0.917490789
Snord87	0	NA	NA	NA	NA	NA
Tcf24	66.87626844	-0.424481778	0.69544029	-0.610378468	0.541611128	0.765351818
Ppp1r42	3.777514889	1.322376581	3.162712493	0.418114699	0.675863259	NA
Cops5	1946.882646	0.146285278	0.116571345	1.254899115	0.209515385	0.465808664
Cspp1	528.902532	0.053232976	0.220098241	0.241860071	0.80888859	0.920619292
Arfgef1	2595.554685	0.112502292	0.105528307	1.066086387	0.286384593	0.554381826
Cpa6	0	NA	NA	NA	NA	NA
Mir467e	0	NA	NA	NA	NA	NA
Prex2	5883.75066	-0.641294042	0.088346815	-7.258824683	3.90E-13	1.64E-10
A830018L16Rik	30.0064284	0.363010964	0.8858853	0.409771969	0.68197323	0.85133433
Mir6341	0	NA	NA	NA	NA	NA
Gm17644	0	NA	NA	NA	NA	NA
Sulf1	2870.754186	0.404819987	0.216154323	1.872828543	0.061092065	0.227281089
Slco5a1	8.138528902	0.430845834	1.558361042	0.276473694	0.782184262	NA
Prdm14	1.470715033	-0.653351141	3.947956739	-0.165490957	0.868557567	NA
Ncoa2	3871.103881	-0.123636526	0.096607456	-1.279782439	0.200621662	0.457200298
Tram1	5491.422798	0.012442925	0.082199629	0.151374471	0.879680326	0.952396319
Lactb2	1312.795264	-0.047315338	0.136050749	-0.347777124	0.728007571	0.878531646
Xkr9	0	NA	NA	NA	NA	NA
Gm5523	1.111797297	-1.744943744	2.226910106	-0.783571703	0.433291465	NA
Eya1	27.58898445	0.165581689	1.144405433	0.144687961	0.884957245	0.955193051
Msc	83.76045106	0.661325021	0.422062267	1.566889707	0.117140474	0.335877982
Trpa1	1.529358191	0.300512942	2.077899926	0.144623395	0.885008225	NA
Kcnb2	1.96926428	1.482658063	2.67228835	0.554827125	0.579012912	NA
Terf1	495.5007856	-0.071281924	0.235700455	-0.302425908	0.762327407	0.896301848
Sbspon	7658.42515	-0.692523255	0.111189428	-6.228319228	4.71E-10	8.86E-08
