geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	309.7462346	-0.294035201	0.284444481	-1.03371737	0.30126831	0.656514699
Rp1	1.902753368	0.209067646	4.080523814	0.051235492	0.95913787	NA
Sox17	1492.653037	0.241550574	0.156492113	1.54353194	0.122701764	0.426289785
Mrpl15	722.0291944	0.301002984	0.19787537	1.521174586	0.128216031	0.436643267
Lypla1	1559.482046	0.156639461	0.14384228	1.088966753	0.276168547	0.630331856
Tcea1	3607.074483	-0.248457918	0.108673675	-2.286275096	0.02223817	0.157310197
Rgs20	7.402061753	-0.660740297	1.765834155	-0.374180268	0.708270204	NA
Atp6v1h	1629.492303	0.262168624	0.130258821	2.01267462	0.044148871	0.239583332
Oprk1	0.483103054	3.248741215	4.023581525	0.807425224	0.419421539	NA
Npbwr1	0	NA	NA	NA	NA	NA
Rb1cc1	3040.932633	-0.141609306	0.095830127	-1.477711759	0.139484946	0.454035882
Fam150a	0.62295933	0.209067646	4.080523814	0.051235492	0.95913787	NA
St18	1.376118662	4.168979304	4.00995015	1.039658636	0.298498524	NA
Pcmtd1	4166.526847	-0.078395798	0.080787917	-0.970390136	0.331852064	0.68133981
Sntg1	12.74052845	1.980295436	1.607158778	1.23217162	0.217884982	0.56829934
Rrs1	911.1689139	0.150380562	0.153381551	0.980434485	0.326871695	0.677729009
Adhfe1	1226.186206	0.465665416	0.356949788	1.304568406	0.192039852	0.536054642
2610203C22Rik	24.31882432	0.059882993	0.971181087	0.061659966	0.950833622	0.986066047
3110035E14Rik	8.46083223	1.479138159	2.065314565	0.716180568	0.47387986	NA
Mybl1	178.0420799	0.045359233	0.361979056	0.125308998	0.900278929	0.971885042
Vcpip1	1287.476288	0.121151046	0.154146655	0.785946643	0.431898747	0.757738324
1700034P13Rik	3.563974461	-2.365042018	2.328478032	-1.015702955	0.30977086	NA
Sgk3	1267.822206	0.150137507	0.165997429	0.904456821	0.36575322	0.709877651
Mcmdc2	4.507987441	0.576932595	2.853498725	0.202184284	0.839772659	NA
Snhg6	195.5408855	0.052603695	0.25504218	0.206254882	0.83659182	0.950899678
Snord87	0	NA	NA	NA	NA	NA
Tcf24	66.87626844	0.542966313	0.698068973	0.777811841	0.436679946	0.760710738
Ppp1r42	3.777514889	1.885432023	3.172858593	0.594237646	0.552353177	NA
Cops5	1946.882646	0.103805567	0.116552148	0.890636241	0.37312435	0.715956756
Cspp1	528.902532	0.109198065	0.220157903	0.495998843	0.619895227	0.870946496
Arfgef1	2595.554685	0.156034075	0.105548504	1.478316311	0.139323134	0.453803975
Cpa6	0	NA	NA	NA	NA	NA
Mir467e	0	NA	NA	NA	NA	NA
Prex2	5883.75066	-0.485882782	0.088376176	-5.497893258	3.84E-08	3.61E-06
A830018L16Rik	30.0064284	0.656216128	0.887100282	0.73973162	0.459462858	0.776603059
Mir6341	0	NA	NA	NA	NA	NA
Gm17644	0	NA	NA	NA	NA	NA
Sulf1	2870.754186	0.14533682	0.216105007	0.672528704	0.501247173	0.80430695
