geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	122.4541298	-0.920810541	0.370422778	-2.485836715	0.012924725	0.116651001
Rp1	2.231198612	-3.573966984	2.856858588	-1.251012913	0.210929766	NA
Sox17	345.4049789	-0.687942157	0.266761271	-2.578868194	0.00991246	0.098918722
Mrpl15	1235.172044	0.021174334	0.128779722	0.164422891	0.869398244	0.957260251
Lypla1	1810.133619	-0.001910736	0.102454639	-0.018649581	0.98512065	0.995418503
Tcea1	1883.905584	0.096251323	0.129651247	0.742386402	0.457853256	0.765804831
Rgs20	83.99996255	0.567884856	0.513541991	1.105819711	0.268804562	0.611927441
Atp6v1h	7923.99816	0.359719079	0.098994126	3.633741643	0.000279341	0.010514534
Oprk1	105.979084	0.11581233	0.398020045	0.290971099	0.771073423	0.923564181
Npbwr1	0.038033754	-0.223363309	4.279685594	-0.052191523	0.958376087	NA
Rb1cc1	4204.958859	0.158905643	0.159929437	0.993598464	0.320418392	0.662107253
Fam150a	0	NA	NA	NA	NA	NA
St18	2.231387864	0.239679536	2.280682823	0.10509113	0.916303497	NA
Pcmtd1	2510.918094	-0.175037328	0.095240728	-1.837841128	0.066085819	0.298308357
Sntg1	229.9732116	0.634780548	0.257692787	2.46332292	0.013765587	0.121160903
Rrs1	824.3028602	0.407253521	0.149338246	2.727054393	0.00639025	0.076400718
Adhfe1	102.7633225	-0.254523565	0.383603845	-0.663506293	0.50700635	0.795624951
2610203C22Rik	15.40889246	-1.011235849	1.035742185	-0.976339347	0.328896328	0.669556419
3110035E14Rik	2.614695705	-0.628252963	2.578464941	-0.24365387	0.807498903	NA
Mybl1	197.3862325	-0.00261202	0.220343985	-0.011854281	0.990541873	0.996842146
Vcpip1	1867.691308	-0.055252713	0.1479545	-0.373443949	0.708818055	0.895013669
1700034P13Rik	3.055671643	1.937468468	2.04350639	0.948109816	0.343073551	NA
Sgk3	333.030775	-0.349515497	0.189766816	-1.841815683	0.065502115	0.296492811
Mcmdc2	17.15268662	-0.734594518	1.15048241	-0.638509995	0.52314175	0.805228868
Snhg6	253.8565971	0.240786807	0.247276285	0.973756167	0.330177622	0.671118779
Snord87	3.126780384	-4.560639057	3.236982228	-1.408916928	0.158859733	NA
Tcf24	17.5084001	0.358637816	0.997735996	0.359451616	0.719257267	0.898910505
Ppp1r42	0.185865462	-0.223363309	4.279685594	-0.052191523	0.958376087	NA
Cops5	5540.916469	0.276038311	0.084749022	3.257126786	0.001125462	0.02545285
Cspp1	384.5258162	-0.687637767	0.212517756	-3.235672077	0.001213567	0.026790314
Arfgef1	5380.785505	0.012487521	0.127395063	0.098022014	0.921914813	0.973585906
Cpa6	5.543755148	-1.013267622	1.758016645	-0.576369754	0.564365284	0.828269812
Mir467e	0	NA	NA	NA	NA	NA
Prex2	889.1054975	-0.94335062	0.149221668	-6.321807244	2.59E-10	4.22E-07
A830018L16Rik	2305.000748	0.228602206	0.125979796	1.81459419	0.069586296	0.307731925
Mir6341	0	NA	NA	NA	NA	NA
Gm17644	0.034248072	-0.704257652	4.279685594	-0.164558269	0.86929168	NA
Sulf1	1075.586018	0.072080743	0.122856019	0.586709093	0.5573991	0.824665373
Slco5a1	1491.830987	0.021854235	0.14538242	0.150322405	0.880510258	0.960791902
Prdm14	0	NA	NA	NA	NA	NA
Ncoa2	2665.533412	-0.349610836	0.115955531	-3.015042346	0.002569434	0.043272444
