"geneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Mpp4"	15.72479804	-4.101867491	1.094253668	-3.748552653	0.000177858	0.065195708
"Wnt10a"	28.07971245	-2.904498033	0.738036963	-3.935437085	8.3e-05	0.048227957
"Zfand2b"	980.0699639	0.371208501	0.102464271	3.622809176	0.000291421	0.079088058
"Blzf1"	950.9376244	-0.45226418	0.119740855	-3.777024801	0.000158713	0.064938839
"Rxrg"	621.5527674	0.491672272	0.122207536	4.023256564	5.74e-05	0.044968652
"Nt5dc1"	124.8598609	-1.004713097	0.285260223	-3.522093216	0.000428154	0.098083009
"Sh3rf3"	96.59665102	-1.602644213	0.440864957	-3.635227045	0.000277736	0.079088058
"Pias4"	1150.858697	0.43369318	0.120049534	3.61261862	0.00030312	0.079088058
"Myh2"	19.4593662	-20.87774284	3.601026022	-5.797720625	6.72e-09	0.00012102
"Cd68"	53.12584014	1.899976374	0.407402972	4.663629146	3.11e-06	0.006120891
"Ccl8"	10.81211234	4.772671244	1.238870607	3.852437225	0.000116948	0.058483728
"Kcnj2"	178.1084019	-1.312144789	0.319981079	-4.100694927	4.12e-05	0.037078195
"Grin2c"	60.59169017	-1.720657257	0.409081825	-4.206144471	2.6e-05	0.028478906
"Lsmem1"	13.88961934	-4.310066875	0.856496352	-5.032206928	4.85e-07	0.001745807
"Gm4787"	11.36020632	-3.721215614	1.056952305	-3.520703437	0.000430404	0.098083009
"3200001D21Rik"	22.85512104	2.853671572	0.750372767	3.80300525	0.000142951	0.062278655
"Asb2"	142.7463948	-1.271623106	0.317013216	-4.011262124	6.04e-05	0.044968652
"Serpina12"	9.517077395	-5.009621881	1.354727235	-3.697882313	0.000217406	0.071162794
"Gpr141"	12.06974812	-6.103463811	1.228818343	-4.966937422	6.8e-07	0.001852269
"Trim38"	8.900029832	-5.884363577	1.419583652	-4.145133377	3.4e-05	0.033967258
"Nfil3"	263.7395027	0.819326717	0.229780218	3.56569736	0.00036289	0.089371282
"Tifab"	137.3131156	-1.09836976	0.280439885	-3.916596105	8.98e-05	0.050525433
"Fam151b"	111.8963206	-1.092091694	0.275633847	-3.962110263	7.43e-05	0.046973471
