"geneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Col19a1"	14.71710448	-7.553001929	1.88171609	-4.013890283	5.97e-05	0.008342235
"Il1r2"	37.62542673	-3.747709722	1.178694938	-3.179541712	0.001475081	0.086068785
"Tmem182"	211.7356596	2.421032233	0.419350818	5.773286061	7.77e-09	5.46e-06
"Hecw2"	1852.053033	-0.450106997	0.132568087	-3.395289215	0.000685561	0.050202827
"Creb1"	2341.370919	-0.483808551	0.120503265	-4.014899946	5.95e-05	0.008342235
"Acadl"	4836.117342	0.401817216	0.122406104	3.28265669	0.001028338	0.066629222
"Gm7609"	14.79750851	7.822572313	2.072226077	3.77496085	0.000160033	0.016914466
"Prelp"	14515.49249	1.459143757	0.335901036	4.343969203	1.4e-05	0.002957969
"Adora1"	1309.064799	1.184623568	0.337979381	3.505017269	0.000456578	0.037595344
"Phlda3"	9197.457545	0.420767949	0.088398331	4.759908285	1.94e-06	0.000555142
"Smg7"	3062.065299	-0.35132302	0.111765519	-3.143393617	0.001670011	0.094453368
"Pappa2"	123.0453356	-7.064046505	2.072027471	-3.409243653	0.000651433	0.048530301
"4930562F07Rik"	10.8209165	-5.918105294	1.585879882	-3.731748766	0.000190155	0.019141148
"Prdx6"	7691.835541	0.405197834	0.098641844	4.107768249	4e-05	0.006255515
"Mpc2"	2299.139512	0.428458741	0.118280214	3.622404179	0.000291878	0.02712056
"Adamts4"	199.8478972	-1.078724464	0.288729404	-3.736108794	0.00018689	0.018939724
"Vsig8"	20.51491857	8.303334636	2.001806855	4.147919972	3.36e-05	0.005508547
"Degs1"	7473.735472	0.329133718	0.076703835	4.290968216	1.78e-05	0.003418631
"Hhipl2"	20.11127435	-4.101980283	1.238723983	-3.311456257	0.000928117	0.062037134
"1-Mar"	620.7930701	2.65024402	0.758744632	3.492932812	0.000477747	0.039029828
"Lpgat1"	4780.910843	1.920137077	0.384622442	4.992264803	5.97e-07	0.000205953
"G0s2"	2054.392407	1.018305685	0.221443895	4.598481649	4.26e-06	0.001090455
"Rspo3"	43.75110977	2.232094495	0.641075569	3.481796223	0.000498063	0.040300172
"Nepn"	11.31332882	7.291091184	2.154570519	3.384011393	0.00071435	0.051300367
"Psap"	74079.09565	0.303769022	0.058058377	5.232130834	1.68e-07	7.46e-05
"Itgb2"	909.0550215	1.22121311	0.290496542	4.203881747	2.62e-05	0.004720257
"Pfkl"	2801.321934	0.648544639	0.139042901	4.664349178	3.1e-06	0.000831042
"Dnmt3l"	12.83518376	7.550057159	2.076953201	3.63515998	0.000277808	0.026245889
"Cstb"	1367.316229	0.522667236	0.129337499	4.041111351	5.32e-05	0.007823229
