"geneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Prex2"	5883.75066	-0.502757851	0.098899738	-5.083510441	3.71e-07	0.000103135
"Sbspon"	7658.42515	-0.535618554	0.124404138	-4.305472164	1.67e-05	0.002529897
"Paqr8"	3242.876661	-0.763913932	0.141244246	-5.408460531	6.36e-08	2.31e-05
"Mitd1"	289.8680152	1.003219345	0.320015724	3.134906409	0.001719089	0.089720354
"Als2"	4072.749629	-0.404553907	0.126445009	-3.199445447	0.001376922	0.076409657
"Acsl3"	2063.436279	-0.618796961	0.170753533	-3.62391892	0.000290173	0.025240483
"Serpine2"	8382.838439	0.302315439	0.068762676	4.396504853	1.1e-05	0.001819051
"Per2"	1539.61247	-0.795280013	0.211833039	-3.754277507	0.000173842	0.01672599
"Slc41a1"	4363.89157	-0.56259718	0.112877008	-4.984161003	6.22e-07	0.000152842
"Adipor1"	9820.217778	-0.275619421	0.069303056	-3.977016832	6.98e-05	0.008067497
"Nav1"	7516.480859	-0.678939796	0.106791016	-6.357649004	2.05e-10	1.56e-07
"Phlda3"	9197.457545	-0.35763234	0.088379325	-4.046561124	5.2e-05	0.006429954
"Cacna1s"	277.8207159	-1.853678175	0.544822502	-3.402352453	0.000668084	0.046684828
"Ncf2"	1955.979386	-0.430509409	0.138812779	-3.101367269	0.001926292	0.096726895
"Nmnat2"	749.8182116	-0.508973583	0.164290917	-3.098001968	0.001948301	0.096841014
"Glul"	32256.5855	-0.366136944	0.09201825	-3.978960081	6.92e-05	0.008067497
"Hsd17b7"	4015.556639	-0.934571126	0.138499885	-6.747811564	1.5e-11	1.57e-08
"Mpz"	1170314.004	-0.841831701	0.173721848	-4.845859705	1.26e-06	0.000280721
"Mndal"	439.5557739	1.063931722	0.32096101	3.314831671	0.000916983	0.059358671
"Gm16432"	17.27553304	-4.946635822	1.59850703	-3.09453492	0.001971217	0.097689317
"Sgk1"	9357.171961	-0.872576407	0.20743945	-4.206414974	2.59e-05	0.00364129
"Epb4.1l2"	30937.37657	-0.340788776	0.078615056	-4.334904679	1.46e-05	0.002234307
"Rspo3"	43.75110977	-2.109170992	0.64082925	-3.291315108	0.000997201	0.063084323
"Marcks"	12653.57056	0.392412117	0.075569166	5.192754371	2.07e-07	6.29e-05
"Sesn1"	10635.11515	-0.561260404	0.12747504	-4.402904328	1.07e-05	0.001801874
"Cd24a"	1890.401001	-0.469291804	0.136504181	-3.437929879	0.000586179	0.042197342
"2010107G23Rik"	279.7576908	0.94880298	0.275803492	3.440141281	0.000581411	0.042190451
"Arid5b"	2371.515592	-0.70189968	0.178470007	-3.932871918	8.39e-05	0.009408264
"Lss"	1558.939071	-1.212409132	0.175611771	-6.903917243	5.06e-12	5.63e-09
"Agpat3"	11685.65571	-0.283831271	0.074971237	-3.785868844	0.000153172	0.015318162
"Hsp90b1"	22301.5833	0.226038433	0.070058649	3.226417241	0.001253505	0.073091577
"Epyc"	219.0418073	-1.623299135	0.43378267	-3.74219453	0.00018242	0.017409143
"Ctdsp2"	18750.89107	-0.203775077	0.060865705	-3.347945703	0.00081413	0.053557973
"Ddit3"	987.3307527	0.455661328	0.138394132	3.292490225	0.000993043	0.06306015
"Cd63"	12613.25025	0.219127198	0.057927254	3.782799667	0.000155074	0.015416039
"Dusp18"	725.6611306	-0.810435279	0.171792312	-4.717529368	2.39e-06	0.00049837
"Xbp1"	5262.365036	0.367401149	0.104934409	3.501245717	0.000463089	0.036140391
"Purb"	10604.87654	-0.308364529	0.095651058	-3.223848611	0.001264802	0.073091577
"Adcy1"	18052.33879	-0.621171794	0.123685527	-5.022186562	5.11e-07	0.000131261
"Pank3"	8848.117414	-0.432731823	0.116747929	-3.706548189	0.000210103	0.019713117
"Atp10b"	301.4453514	-1.160407003	0.354913454	-3.269549208	0.00107719	0.066877881
"Sparc"	360298.3767	-0.431829482	0.079273614	-5.447329311	5.11e-08	1.94e-05
"Gm12250"	114.4218284	3.542148018	0.805232496	4.398913402	1.09e-05	0.001816972
"Lypd8"	14.49305016	-5.723426258	1.783513011	-3.209074575	0.001331629	0.074856325
"Mprip"	23583.43842	-0.325878574	0.072804892	-4.476053266	7.6e-06	0.001336704
"Pmp22"	641814.9805	-0.856419668	0.15685958	-5.45978555	4.77e-08	1.85e-05
"Per1"	6757.079593	-0.508235931	0.153631378	-3.30815187	0.000939139	0.060325211
"Naa38"	741.92336	0.541077023	0.161621469	3.347804144	0.000814546	0.053557973
"Trp53"	1697.305888	0.38562145	0.112077116	3.440679613	0.000580255	0.042190451
"Nlrp1b"	61.06166133	1.582670351	0.445862913	3.549679294	0.000385701	0.031422379
"Cyb5d2"	1010.465911	-0.488409258	0.14394696	-3.392980705	0.000691365	0.048110368
"Aspa"	4502.790572	0.441083587	0.141787379	3.110880467	0.001865304	0.095559653
"Fam57a"	2399.804597	-0.996837575	0.185489809	-5.374082716	7.7e-08	2.68e-05
"Nxn"	2031.681397	-0.462449051	0.14546334	-3.179145006	0.001477102	0.079577667
