"","Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04392","04392","Hippo signaling pathway - multiple species",27,7,3.41781586327446e-05,0.0102876257484561,"Frmd6,Ajuba,Fat4,Wwtr1,Rassf4,Yap1,Limd1"
"04390","04390","Hippo signaling pathway",157,16,0.000155331150243381,0.0233773381116289,"Wnt10a,Ctnna3,Wnt9a,Dvl2,Actg1,Frmd6,Ajuba,Dlg1,Axin1,Sox2,Wwtr1,Ctnna2,Fzd4,Yap1,Tgfbr2,Limd1"
"04330","04330","Notch signaling pathway",60,9,0.000258494987184539,0.0259356637141821,"Hey2,Maml1,Dvl2,Adam17,Tle1,Ctbp1,Numbl,Ctbp2,Atxn1l"
"05205","05205","Proteoglycans in cancer",205,18,0.000400280137427608,0.0301210803414275,"Wnt10a,Frs2,Wnt9a,Stat3,Itgb3,Actg1,Pik3r1,Tiam1,Vegfa,Vav1,Rock1,Plce1,Sdc4,Camk2d,Kdr,Smo,Itpr1,Fzd4"
"04360","04360","Axon guidance",181,16,0.000774317549053963,0.0466139164530486,"Unc5b,Slit3,Ssh2,Pik3r1,Sema3g,Pak2,Rock1,Trpc3,Camk2d,Ppp3ca,Rgs3,Lrrc4,Smo,Cxcl12,Nrp1,Sema3b"
"04919","04919","Thyroid hormone signaling pathway",120,12,0.0012066286921128,0.0516053297880421,"Med1,Itgb3,Actg1,Pik3r1,Pfkm,Plcb3,Plce1,Rxra,Foxo1,Rheb,Atp1a3,Atp1b3"
"04922","04922","Glucagon signaling pathway",104,11,0.00120967042979477,0.0516053297880421,"Pygl,Pdhb,Pck2,Ppara,Pfkm,Plcb3,Creb3l1,Foxo1,Camk2d,Ppp3ca,Itpr1"
"04971","04971","Gastric acid secretion",75,9,0.00137157022692471,0.0516053297880421,"Kcnj10,Kcnj2,Actg1,Plcb3,Camk2d,Itpr1,Atp1a3,Adcy7,Atp1b3"
"04724","04724","Glutamatergic synapse",113,11,0.0023703141708166,0.0792738406017551,"Glul,Gls2,Grin2c,Plcb3,Ppp3ca,Gng12,Itpr1,Grm7,Slc17a6,Shank2,Adcy7"
"04310","04310","Wnt signaling pathway",171,14,0.0033234042596116,0.100034468214309,"Wnt10a,Wnt9a,Dvl2,Axin1,Ppard,Plcb3,Vangl1,Camk2d,Ppp3ca,Tle1,Ctnnbip1,Ctbp1,Fzd4,Ctbp2"
"04962","04962","Vasopressin-regulated water reabsorption",44,6,0.00453964950346188,0.121003596726467,"Nsf,Aqp4,Dync1i2,Creb3l1,Dync1i1,Dctn1"
