"","Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"01200","01200","Carbon metabolism",121,29,9.79793330579887e-09,3.16473245777303e-06,"Idh1,Cs,Aldoc,Acox1,Dld,Pfkp,Hk3,Ogdhl,Sucla2,Gpt,Pcx,Pgam1,Acss1,Sdhb,Pgd,Acads,Mdh2,Hk2,Suclg2,Tpi1,Gpi1,Gcsh,Dlat,Acat1,Idh3a,Me1,Glyctk,G6pdx,Prps1"
"05152","05152","Tuberculosis",180,36,2.87393076799383e-08,4.64139819031004e-06,"Hspd1,Creb1,Fcgr2b,Fcgr3,Fcer1g,Itgb2,Il23a,Camk2b,Nos2,Mrc2,Syk,Camk2g,Ppp3cc,Mapk11,H2-Ab1,H2-Aa,H2-Eb1,Hspa9,Cd14,Cd74,Ctss,Atp6v0d2,Jak1,Tlr1,Irak2,Tnfrsf1a,Clec7a,Coro1a,Mapk3,Itgam,Itgax,Ctsd,Lsp1,Cd209a,Il10ra,Lamp2"
"04380","04380","Osteoclast differentiation",128,27,5.20935384426491e-07,5.60873763899189e-05,"Creb1,Fcgr2b,Fcgr3,Fyn,Stat2,Lcp2,Sqstm1,Syk,Ppp3cc,Mapk11,Ifnar2,Trem2,Csf1r,Blnk,Spi1,Jun,Jak1,Mitf,Tnfrsf1a,Pirb,Lilra5,Tyrobp,Mapk3,Jund,Cyba,Pik3cb,Ikbkg"
"05020","05020","Prion disease",268,43,9.64637825810493e-07,7.78945044341973e-05,"Creb1,Ndufs2,Fyn,Uqcr11,Atp5b,Uqcrq,Psmb6,Eif2s1,Klc1,Vdac2,Psmb5,Ppp3cc,C6,Ndufb9,Rac2,Mapk11,Tuba1b,Itpr3,Tubb4a,Atp5a1,Stip1,Cox8a,Kif5c,Atp5g3,Psma7,Ndufb5,Psmd4,C1qb,C1qc,C1qa,Sdhb,Ndufa4,Psmd8,Cox6b1,Mapk3,Cox4i1,Cyba,Psma4,Cox5a,Cox7a2,Pik3cb,Uqcrc1,Cybb"
"01100","01100","Metabolic pathways",1620,165,3.46111512746598e-06,0.000223588037234302,"Inpp4a,Idh1,Acadl,Nmnat2,Prdx6,Ndufs2,Itpkb,Eprs,Echdc1,Ggt5,Uqcr11,Pip5k1c,Chpt1,Tph2,Atp5b,Cs,Rdh5,Ltc4s,Uqcrq,P4ha2,Acadvl,Inpp5k,Aldoc,Nos2,Nme2,Nme1,Acox1,Cbr2,Adcy3,Lpin1,Odc1,Dld,Fut8,Rdh11,Galnt16,Entpd5,Gstz1,Sptlc2,Pld4,Pfkp,Gpld1,Hk3,B4galt7,Ptdss1,Elovl7,Chdh,Ogdhl,Dhrs4,Extl3,Ephx2,Sucla2,Ext1,Enpp2,Ndufb9,Dgat1,Gpt,Gcat,Mgat3,Pnpla3,Kmt2d,Comt,St6gal1,Nme3,Galm,Ndst1,St8sia5,Atp5a1,Gstp1,Carns1,Pcx,Cox8a,Nmrk1,Aldh1a7,Sgms1,Pank1,Pgam1,Scd1,Gsto1,Pfkfb3,Pip4k2a,Man1b1,Agpat2,Uck1,Atp5g3,Agps,Blvra,Plcb1,Plcb4,Acss1,Acot8,Pde7a,Gyg,Ndufb5,Ash1l,Pmvk,Selenbp1,Gstm2,Pla2g12a,Acadm,Atp6v0d2,Alg2,Scp2,Cmpk1,Extl1,Gale,Ddost,Sdhb,Pgd,Prdm16,Kmt2e,Hadha,Hadhb,Coq2,Cds1,Acads,Gusb,Mdh2,Ndufa4,Tbxas1,Hpgds,Ggcx,Hk2,Rpn1,Mgll,Suclg2,Tpi1,Mgst1,Bcat1,Pafah1b3,Blvrb,Sirt2,Cox6b1,Gpi1,Anpep,Dgat2,Ampd3,Sephs2,Cers4,Acsl1,Atp6v1b2,Isyna1,Car7,Gcsh,Cox4i1,Pigyl,Hmbs,Atp5l,Dlat,Acat1,Idh3a,Cox5a,Hexa,Aldh1a2,Cox7a2,Me1,Nt5e,Pik3cb,Glyctk,Gpx1,Uqcrc1,Stt3b,Hprt,G6pdx,Prps1,Car5b"
"05014","05014","Amyotrophic lateral sclerosis",369,51,8.97150555551173e-06,0.000434775750630807,"Als2,Tomm40l,Ndufs2,Map3k5,Uqcr11,Atp5b,Nefh,Sqstm1,Uqcrq,Psmb6,Pfn1,Nos2,Eif2s1,Klc1,Anxa7,Psmb5,Ppp3cc,Ndufb9,Mapk11,Tuba1b,Itpr3,Tubb4a,Atp5a1,Cox8a,Nxf1,Optn,Kif5c,Atp5g3,Bcl2l1,Psma7,Ndufb5,Psmd4,Vcp,Dnali1,Sdhb,Tnfrsf1b,Actb,Ndufa4,Nup210,Tnfrsf1a,Psmd8,Cox6b1,Nup93,Cox4i1,Casp1,Psma4,Cox5a,Cox7a2,Gpx1,Uqcrc1,Rab39b"
"00020","00020","Citrate cycle (TCA cycle)",32,11,1.03428334316394e-05,0.000434775750630807,"Idh1,Cs,Dld,Ogdhl,Sucla2,Pcx,Sdhb,Mdh2,Suclg2,Dlat,Idh3a"
"04062","04062","Chemokine signaling pathway",192,32,1.07684396441067e-05,0.000434775750630807,"Foxo3,Stat2,Dock2,Pik3r5,Pik3r6,Cxcl16,Ccl2,Ccl7,Ccl11,Ccl8,Ccl9,Ccl6,Ccl3,Adcy3,Elmo1,Gng2,Ptk2b,Rac2,Plcb1,Plcb4,Vav3,Gng5,Gnai1,Pf4,Pxn,Kras,Nfkbib,Mapk3,Jak3,Pik3cb,Ccr2,Ikbkg"
"04142","04142","Lysosome",135,24,4.66196390444131e-05,0.00150581434113454,"Slc11a1,Cd164,Psap,Gnptab,Cd68,Ctns,Npc2,Lgmn,Ctsl,Ctsb,Igf2r,Ap3s1,Ctsz,Ctss,Atp6v0d2,Laptm5,Fuca1,Gusb,Ctsc,Ctsd,Man2b1,Hexa,Ctsh,Lamp2"
"05135","05135","Yersinia infection",135,24,4.66196390444131e-05,0.00150581434113454,"Fcgr3,Pip5k1c,Lcp2,Ccl2,Baiap2,Elmo1,Ptk2b,Fyb,Rac2,Mapk11,Vav3,Jun,Git2,Pxn,Actb,Wasl,Skap2,Wipf3,Mapk3,Pycard,Casp1,Pik3cb,Ikbkg,Rps6ka3"
"04145","04145","Phagosome",182,29,6.49307048149094e-05,0.00190660160501961,"Fcgr2b,Fcgr3,Itgb2,Mrc2,Ctsl,Tuba1b,H2-K1,H2-Ab1,H2-Aa,H2-Eb1,H2-D1,Tubb4a,Cd14,Thbs1,Ctss,Sec22b,Atp6v0d2,Cd36,Actb,Clec7a,Coro1a,Itgam,Cd209a,Msr1,Atp6v1b2,Calr,Cyba,Cybb,Lamp2"
"05022","05022","Pathways of neurodegeneration - multiple diseases",471,58,7.10577895424764e-05,0.00191263883518499,"Als2,Fzd5,Tomm40l,Ndufs2,Psen2,Capn2,Map3k5,Uqcr11,Atp5b,Nefh,Camk2b,Sqstm1,Uqcrq,Psmb6,Nos2,Eif2s1,Klc1,Camk2g,Vdac2,Wnt5a,Psmb5,Fzd3,Ppp3cc,Ndufb9,Mapk11,Tuba1b,Itpr3,Tubb4a,Atp5a1,Cox8a,Optn,Kif5c,Atp5g3,Plcb1,Plcb4,Bcl2l1,Psma7,Ndufb5,Psmd4,Vcp,Dnali1,Sdhb,Tnfrsf1b,Ndufa4,Tnfrsf1a,Kras,Psmd8,Cox6b1,Mapk3,Cox4i1,Psma4,Cox5a,Cox7a2,Gpx1,Uqcrc1,Cybb,Uba1,Rab39b"
"05010","05010","Alzheimer disease",383,49,0.00010232347337013,0.00254234476142707,"Fzd5,Ndufs2,Psen2,Capn2,Map3k5,Uqcr11,Atp5b,Uqcrq,Psmb6,Nos2,Eif2s1,Klc1,Vdac2,Wnt5a,Psmb5,Fzd3,Ppp3cc,Ndufb9,Tuba1b,Itpr3,Tubb4a,Atp5a1,Cox8a,Kif5c,Atp5g3,Plcb1,Plcb4,Psma7,Ndufb5,Psmd4,Sdhb,Ndufa4,Tnfrsf1a,Kras,Apoe,Psmd8,Cox6b1,Mapk3,Lpl,Cox4i1,Bace1,Psma4,Cox5a,Adam10,Cox7a2,Pik3cb,Uqcrc1,Cybb,Ikbkg"
"04210","04210","Apoptosis",136,23,0.000146938582135369,0.00316220908542519,"Capn2,Map3k5,Eif2s1,Ctsl,Ctsb,Tuba1b,Itpr3,Endog,Bcl2l1,Ctsz,Ctss,Jun,Actb,Gadd45a,Tnfrsf1a,Kras,Ctsc,Mapk3,Ctsd,Ctsh,Pik3cb,Xiap,Ikbkg"
