"","Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0009987","GO:0009987","cellular process",17392,144,1.04161921155524e-18,3.6789990552131e-15,"Fam135a,Gulp1,Trak2,Chpf,Pid1,Psmd1,Efhd1,Steap3,Rassf5,Nfasc,Sox13,Lbr,Grik2,Chst3,Tet1,Pttg1ip,Pfkl,2610008E11Rik,Hsp90b1,Gal3st1,Dbnl,Sh3pxd2b,Cnot6,Snap47,Atp1b2,Unc119,Itga3,Spop,Phb,Ormdl3,Kif19a,Slc9a3r1,Lgals3bp,Gaa,Itgb1bp1,Mboat2,Lamb1,Fbln5,Clmn,Hsp90aa1,Klf6,2210016F16Rik,Ntrk2,Slc9a3,Hexb,Prkcd,Stab1,Sh3bp5,Hnrnpc,Wdfy2,Ndfip2,Npr3,Cpq,Mal2,H1f0,Rangap1,Zc3h7b,Adamts20,Arid2,Nr4a1,Slx4,Trap1,Sdf2l1,Igf2bp2,Adprh,Tead3,Cdkn1a,Hspa1b,Hsp90ab1,Syt4,Ecscr,Spry4,Hsd17b4,Sh3tc2,Lrp5,Fads1,Dock8,Scd2,Aif1l,Mvb12b,Nr4a2,Gorasp2,Itgav,Slc43a3,Mapkbp1,Shc4,Rpn2,Frem2,Arhgef26,Sema4a,Cers2,Bcl9,Sort1,Celsr2,Syde2,Sigmar1,Frmpd1,Frem1,Foxd3,Elovl1,Cldn19,Mfsd2a,Kazn,Slit2,Hnrnpdl,Zfp664,Card11,Smurf1,Pan3,Hsph1,Snd1,Impdh1,Tgfa,Ret,Mfap5,Ccnd2,Ttyh1,Cadm4,Prx,Mag,Zfp536,Plekha4,Ldha,Pcf11,Pde2a,Plekha7,Slc20a2,Sorbs2,Myo9b,Nfat5,Aars,Slc7a5,Egln1,Fez1,Ncam1,Rdx,Gldn,Rab8b,Rbm5,Dag1,Gria3,Plxnb3,Itm2a,Brwd3"
"GO:0048731","GO:0048731","system development",4997,72,1.14115136888638e-16,2.01527331745335e-13,"Trak2,Efhd1,Nfasc,Sox13,Lbr,Tet1,Gal3st1,Dbnl,Sh3pxd2b,Atp1b2,Unc119,Itga3,Ormdl3,Slc9a3r1,Gaa,Itgb1bp1,Mboat2,Lamb1,Fbln5,Clmn,Hsp90aa1,Ntrk2,Hexb,Stab1,Npr3,Mal2,Arid2,Nr4a1,Igf2bp2,Tead3,Cdkn1a,Hspa1b,Hsp90ab1,Syt4,Ecscr,Spry4,Hsd17b4,Sh3tc2,Lrp5,Nr4a2,Itgav,Frem2,Sema4a,Cers2,Bcl9,Celsr2,Sigmar1,Frem1,Foxd3,Elovl1,Mfsd2a,Kazn,Slit2,Card11,Smurf1,Tgfa,Ret,Mfap5,Prx,Mag,Zfp536,Plekha4,Pde2a,Sorbs2,Aars,Egln1,Fez1,Ncam1,Gldn,Dag1,Plxnb3,Itm2a"
"GO:0032502","GO:0032502","developmental process",6627,83,4.45073130003399e-16,5.23999431724002e-13,"Trak2,Pid1,Efhd1,Nfasc,Sox13,Lbr,Tet1,Gal3st1,Dbnl,Sh3pxd2b,Atp1b2,Unc119,Itga3,Ormdl3,Slc9a3r1,Gaa,Itgb1bp1,Mboat2,Lamb1,Fbln5,Clmn,Hsp90aa1,Ntrk2,Hexb,Prkcd,Stab1,Wdfy2,Npr3,Mal2,Adamts20,Arid2,Nr4a1,Igf2bp2,Tead3,Cdkn1a,Hspa1b,Hsp90ab1,Syt4,Ecscr,Spry4,Hsd17b4,Sh3tc2,Lrp5,Nr4a2,Gorasp2,Itgav,Shc4,Frem2,Arhgef26,Sema4a,Cers2,Bcl9,Sort1,Celsr2,Sigmar1,Frem1,Foxd3,Elovl1,Mfsd2a,Kazn,Slit2,Card11,Smurf1,Tgfa,Ret,Mfap5,Prx,Mag,Zfp536,Plekha4,Pde2a,Sorbs2,Myo9b,Aars,Egln1,Fez1,Ncam1,Rdx,Gldn,Dag1,Plxnb3,Itm2a,Brwd3"
"GO:0048856","GO:0048856","anatomical structure development",6150,78,3.84477487491578e-15,3.39493621455064e-12,"Trak2,Pid1,Efhd1,Nfasc,Sox13,Lbr,Tet1,Gal3st1,Dbnl,Sh3pxd2b,Atp1b2,Unc119,Itga3,Ormdl3,Slc9a3r1,Gaa,Itgb1bp1,Mboat2,Lamb1,Fbln5,Clmn,Hsp90aa1,Ntrk2,Hexb,Stab1,Npr3,Mal2,Arid2,Nr4a1,Igf2bp2,Tead3,Cdkn1a,Hspa1b,Hsp90ab1,Syt4,Ecscr,Spry4,Hsd17b4,Sh3tc2,Lrp5,Nr4a2,Itgav,Frem2,Arhgef26,Sema4a,Cers2,Bcl9,Sort1,Celsr2,Sigmar1,Frem1,Foxd3,Elovl1,Mfsd2a,Kazn,Slit2,Card11,Smurf1,Tgfa,Ret,Mfap5,Prx,Mag,Zfp536,Plekha4,Pde2a,Sorbs2,Myo9b,Aars,Egln1,Fez1,Ncam1,Rdx,Gldn,Dag1,Plxnb3,Itm2a,Brwd3"
"GO:0048519","GO:0048519","negative regulation of biological process",5585,73,1.23822787853686e-14,8.74684173398438e-12,"Trak2,Pid1,Rassf5,Sox13,Grik2,Tet1,Pttg1ip,Pfkl,2610008E11Rik,Cnot6,Atp1b2,Unc119,Itga3,Spop,Phb,Ormdl3,Slc9a3r1,Itgb1bp1,Lamb1,Fbln5,Clmn,Ntrk2,Prkcd,Stab1,Sh3bp5,Hnrnpc,Ndfip2,Npr3,H1f0,Rangap1,Zc3h7b,Adamts20,Arid2,Nr4a1,Slx4,Trap1,Cdkn1a,Hspa1b,Hsp90ab1,Syt4,Ecscr,Spry4,Lrp5,Dock8,Nr4a2,Itgav,Mapkbp1,Sema4a,Cers2,Sort1,Foxd3,Cldn19,Mfsd2a,Slit2,Smurf1,Pan3,Hsph1,Snd1,Tgfa,Ccnd2,Cadm4,Mag,Zfp536,Pde2a,Aars,Slc7a5,Egln1,Fez1,Ncam1,Rdx,Dag1,Plxnb3,Itm2a"
"GO:0007275","GO:0007275","multicellular organism development",5621,73,1.74668870581161e-14,1.02821741815444e-11,"Trak2,Efhd1,Nfasc,Sox13,Lbr,Tet1,Gal3st1,Dbnl,Sh3pxd2b,Atp1b2,Unc119,Itga3,Ormdl3,Slc9a3r1,Gaa,Itgb1bp1,Mboat2,Lamb1,Fbln5,Clmn,Hsp90aa1,Ntrk2,Hexb,Stab1,Npr3,Mal2,Arid2,Nr4a1,Igf2bp2,Tead3,Cdkn1a,Hspa1b,Hsp90ab1,Syt4,Ecscr,Spry4,Hsd17b4,Sh3tc2,Lrp5,Nr4a2,Itgav,Frem2,Sema4a,Cers2,Bcl9,Sort1,Celsr2,Sigmar1,Frem1,Foxd3,Elovl1,Mfsd2a,Kazn,Slit2,Card11,Smurf1,Tgfa,Ret,Mfap5,Prx,Mag,Zfp536,Plekha4,Pde2a,Sorbs2,Aars,Egln1,Fez1,Ncam1,Gldn,Dag1,Plxnb3,Itm2a"
"GO:0019222","GO:0019222","regulation of metabolic process",6706,80,4.33091750012525e-14,2.1852572300632e-11,"Trak2,Pid1,Psmd1,Rassf5,Sox13,Tet1,Pttg1ip,2610008E11Rik,Hsp90b1,Sh3pxd2b,Cnot6,Unc119,Itga3,Spop,Phb,Ormdl3,Slc9a3r1,Itgb1bp1,Fbln5,Hsp90aa1,Klf6,Ntrk2,Hexb,Prkcd,Sh3bp5,Hnrnpc,Wdfy2,Ndfip2,Npr3,H1f0,Zc3h7b,Arid2,Nr4a1,Slx4,Trap1,Igf2bp2,Tead3,Cdkn1a,Hspa1b,Hsp90ab1,Ecscr,Spry4,Lrp5,Nr4a2,Itgav,Mapkbp1,Shc4,Cers2,Bcl9,Sort1,Celsr2,Foxd3,Cldn19,Mfsd2a,Slit2,Hnrnpdl,Zfp664,Card11,Smurf1,Pan3,Hsph1,Snd1,Tgfa,Ret,Ccnd2,Cadm4,Prx,Zfp536,Pde2a,Nfat5,Aars,Slc7a5,Egln1,Fez1,Rdx,Rbm5,Dag1,Gria3,Itm2a,Brwd3"
"GO:0042981","GO:0042981","regulation of apoptotic process",1531,36,6.50252504747529e-14,2.87086480846034e-11,"Steap3,Rassf5,Grik2,Pttg1ip,Spop,Phb,Ormdl3,Slc9a3r1,Hsp90aa1,Ntrk2,Prkcd,Adamts20,Nr4a1,Trap1,Sdf2l1,Cdkn1a,Hspa1b,Hsp90ab1,Ecscr,Lrp5,Dock8,Nr4a2,Itgav,Sort1,Sigmar1,Slit2,Card11,Hsph1,Tgfa,Ret,Ccnd2,Mag,Ldha,Aars,Egln1,Rbm5"
"GO:0060255","GO:0060255","regulation of macromolecule metabolic process",6219,76,9.17484443904628e-14,3.60061672874572e-11,"Trak2,Pid1,Psmd1,Rassf5,Sox13,Tet1,Pttg1ip,2610008E11Rik,Hsp90b1,Sh3pxd2b,Cnot6,Unc119,Itga3,Spop,Phb,Ormdl3,Slc9a3r1,Itgb1bp1,Fbln5,Hsp90aa1,Klf6,Ntrk2,Hexb,Prkcd,Sh3bp5,Hnrnpc,Wdfy2,Ndfip2,H1f0,Zc3h7b,Arid2,Nr4a1,Slx4,Trap1,Igf2bp2,Tead3,Cdkn1a,Hspa1b,Hsp90ab1,Ecscr,Spry4,Lrp5,Nr4a2,Itgav,Mapkbp1,Shc4,Bcl9,Sort1,Celsr2,Foxd3,Cldn19,Slit2,Hnrnpdl,Zfp664,Card11,Smurf1,Pan3,Hsph1,Snd1,Tgfa,Ret,Ccnd2,Cadm4,Prx,Zfp536,Pde2a,Nfat5,Aars,Slc7a5,Egln1,Rdx,Rbm5,Dag1,Gria3,Itm2a,Brwd3"
"GO:0010941","GO:0010941","regulation of cell death",1735,38,1.03371005876617e-13,3.65106392756212e-11,"Steap3,Rassf5,Grik2,Pttg1ip,Spop,Phb,Ormdl3,Slc9a3r1,Hsp90aa1,Ntrk2,Prkcd,Adamts20,Nr4a1,Trap1,Sdf2l1,Cdkn1a,Hspa1b,Hsp90ab1,Ecscr,Lrp5,Dock8,Nr4a2,Itgav,Sort1,Sigmar1,Slit2,Card11,Hsph1,Tgfa,Ret,Ccnd2,Mag,Ldha,Pde2a,Aars,Egln1,Ncam1,Rbm5"
