geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	309.7462346	-0.2696678	0.318381817	-0.846994977	0.396997921	0.92780305
Rp1	1.902753368	3.093889336	4.493381586	0.688543645	0.491110496	NA
Sox17	1492.653037	0.089911336	0.17515675	0.513319279	0.607728	0.972909873
Mrpl15	722.0291944	0.279161274	0.22136023	1.261117563	0.207266494	0.825742191
Lypla1	1559.482046	0.219876861	0.160859231	1.366889923	0.171659811	0.795613138
Tcea1	3607.074483	-0.117001271	0.121520453	-0.962811344	0.335642207	0.904361958
Rgs20	7.402061753	0.454355104	1.964381661	0.231296755	0.817084268	0.992139436
Atp6v1h	1629.492303	0.121281718	0.145820928	0.831716819	0.405568805	0.928628965
Oprk1	0.483103054	0.32032305	4.562152922	0.070213133	0.944024021	NA
Npbwr1	0	NA	NA	NA	NA	NA
Rb1cc1	3040.932633	-0.125273272	0.107229726	-1.168270004	0.242697871	0.850104266
Fam150a	0.62295933	0.320336724	4.562152922	0.07021613	0.944021636	NA
St18	1.376118662	0.32033601	4.562152922	0.070215974	0.944021761	NA
Pcmtd1	4166.526847	-0.091246382	0.090410414	-1.009246369	0.312856494	0.895119869
Sntg1	12.74052845	2.01152219	1.794441746	1.120973804	0.262299013	0.86193494
Rrs1	911.1689139	0.040150142	0.171755331	0.233763584	0.815168522	0.992139436
Adhfe1	1226.186206	0.149484345	0.399217739	0.374443142	0.708074651	0.987075432
2610203C22Rik	24.31882432	0.518027997	1.083677292	0.478027916	0.632630336	0.976967015
3110035E14Rik	8.46083223	3.318643884	2.29350202	1.446976656	0.147903462	0.770472774
Mybl1	178.0420799	0.525760252	0.403860602	1.301835955	0.19297247	0.817977975
Vcpip1	1287.476288	-0.018119874	0.172573217	-0.104998182	0.916377251	0.996406315
1700034P13Rik	3.563974461	-5.55868881	2.751067166	-2.020557287	0.043325614	0.512752607
Sgk3	1267.822206	0.134053259	0.18570329	0.721867978	0.47037565	0.947522286
Mcmdc2	4.507987441	1.307010783	3.184440413	0.410436564	0.681485729	0.98271472
Snhg6	195.5408855	0.095716462	0.285448994	0.335318969	0.737384486	0.987716263
Snord87	0	NA	NA	NA	NA	NA
Tcf24	66.87626844	0.92017991	0.779244993	1.180860856	0.237658004	0.845427316
Ppp1r42	3.777514889	1.791662229	3.544511854	0.505475028	0.613225233	0.972909873
Cops5	1946.882646	-0.040067338	0.13051561	-0.306992688	0.758848938	0.98826798
Cspp1	528.902532	0.149716842	0.24626408	0.607952416	0.543219034	0.968406899
Arfgef1	2595.554685	0.077955397	0.118128343	0.659921187	0.509304407	0.958868693
Cpa6	0	NA	NA	NA	NA	NA
Mir467e	0	NA	NA	NA	NA	NA
Prex2	5883.75066	-0.502757851	0.098899738	-5.083510441	3.71E-07	0.000103135
A830018L16Rik	30.0064284	-2.279097954	1.036399278	-2.199053976	0.027874085	0.423204624
Mir6341	0	NA	NA	NA	NA	NA
Gm17644	0	NA	NA	NA	NA	NA
Sulf1	2870.754186	-0.020673986	0.241689195	-0.085539556	0.93183245	0.996612764
Slco5a1	8.138528902	-3.132669825	2.011506139	-1.557375224	0.119381425	0.736684806
Prdm14	1.470715033	2.869732998	4.501184137	0.637550678	0.523766211	NA
Ncoa2	3871.103881	-0.013899535	0.108076101	-0.128608773	0.897667224	0.996181299
Tram1	5491.422798	0.006232677	0.091925803	0.067801174	0.945943909	0.996612764
Lactb2	1312.795264	-0.038748641	0.152360355	-0.254322335	0.799246546	0.992139436
Xkr9	0	NA	NA	NA	NA	NA
Gm5523	1.111797297	-1.538872655	2.586825114	-0.594888555	0.551917968	NA
Eya1	27.58898445	-2.643257991	1.340876505	-1.971291152	0.048690583	0.535732658
Msc	83.76045106	-1.244904063	0.475958555	-2.615572404	0.008907803	0.241508478
Trpa1	1.529358191	1.176060532	2.27575409	0.516778389	0.605310868	NA
Kcnb2	1.96926428	-2.4707994	3.067652938	-0.80543642	0.420567882	NA
Terf1	495.5007856	0.067763332	0.263723591	0.256948313	0.797218674	0.992139436
Sbspon	7658.42515	-0.535618554	0.124404138	-4.305472164	1.67E-05	0.002529897
4930444P10Rik	2.697935948	-0.831579229	4.318703094	-0.192552998	NA	NA
Rpl7	19516.71811	0.069073762	0.076022534	0.908595886	0.363563479	0.914000306
Rdh10	985.9405231	-0.072601478	0.239686047	-0.302902396	0.761964245	0.98826798
Stau2	473.1568092	-0.516642302	0.270898805	-1.907141311	0.056502291	0.568135883
Ube2w	1552.464901	0.113468782	0.13491986	0.841008741	0.400343038	0.927988845
Tceb1	1917.403199	0.152455202	0.139542246	1.092537972	0.27459671	0.871965767
D030040B21Rik	4.327821211	3.026852436	4.116453945	0.735305794	NA	NA
Tmem70	941.7750837	0.082680335	0.194214742	0.425716062	0.670314757	0.982619782
Ly96	101.9873162	-0.20628171	0.603839971	-0.341616521	0.732639503	0.987716263
Jph1	232.1623178	-0.318681307	0.482773211	-0.660105615	0.509186056	0.958868693
Gdap1	13.29899048	-2.048690026	1.236692492	-1.656588068	0.097602786	0.692229957
Pi15	235.2595265	0.232383192	0.656906651	0.353753752	0.723523436	0.987716263
Crispld1	366.2161119	-0.584974807	0.362299502	-1.614616645	0.106393739	0.711891759
Crisp4	0	NA	NA	NA	NA	NA
